|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |bii      |lii      |parallax|
|HR 4703|Zet2Mus   |12 22 07.30|-67 31 18.8| 5.15|W       |                                           STAR A5V|-4.81000 |300.12600|0.007   |
|HR 8547|          |22 28 37.70|-67 29 21.1| 5.55|        |                                           STAR A4V|-44.26200|321.11000|        |
|HR 5684|          |15 20 40.70|-67 28 53.0| 6.28|W       |                                           STAR B3V|-8.63360 |316.51200|        |
|HR 8855|          |23 18 19.99|-67 28 16.0| 6.13|        |                                         STAR K2III|-47.25910|315.82200|        |
|HR 6182|          |16 43 22.10|-67 25 57.0| 6.03|        |                                           STAR A0V|-13.88560|322.51600|        |
|HR 7644|          |20 05 32.81|-67 19 14.9| 6.07|        |                                           STAR G3V|-31.98950|328.46600|0.054   |
|HR 7107|Kap Pav   |18 56 57.00|-67 14 01.0| 4.44|        |                                           STAR F5I|-25.38760|328.28600|0.010   |
|HR 6368|          |17 13 17.50|-67 11 48.1| 5.89|W       |                                         STAR K0III|-16.08740|324.45900|        |
|HR 4806|          |12 38 52.51|-67 11 35.2| 6.25|W       |                                           STAR B1I|-4.35100 |301.71100|        |
|HR 1744|The Dor   |05 13 45.41|-67 11 07.1| 4.83|        |                                         STAR K2III|-34.26200|277.64200|-0.006  |
|HR 6204|          |16 46 40.01|-67 06 34.9| 5.13|W       |                                            STAR A0|-13.93280|322.98100|0.005   |
|HR 5621|          |15 09 29.90|-67 05 03.1| 5.76|        |                                          STAR F6II|-7.72700 |315.79700|        |
|HR 3713|          |09 17 51.70|-67 03 02.9| 6.11|        |                                         STAR K2III|-12.29590|284.24800|        |
|HR 4129|          |10 30 08.71|-66 59 06.0| 6.19|        |                                          STAR B4IV|-7.80400 |289.74300|        |
|HR 4448|          |11 32 19.90|-66 57 43.9| 5.90|        |                                         STAR K1III|-5.27130 |295.29100|        |
|HR 7603|Mu 1Pav   |20 00 22.99|-66 56 57.8| 5.76|        |                                         STAR K0III|-31.52250|328.95300|0.037   |
|HR 7612|Mu 2Pav   |20 01 52.39|-66 56 39.1| 5.31|        |                                          STAR K2IV|-31.66830|328.94500|0.025   |
|HR 1014|          |03 17 58.99|-66 55 36.8| 6.05|        |                                           STAR A3V|-44.37800|283.83300|        |
|HR 4089|          |10 22 58.10|-66 54 06.1| 4.99|        |                                           STAR B8V|-8.10650 |289.09700|        |
|HR 2064|Eps Dor   |05 49 53.59|-66 54 04.0| 5.11|        |                                           STAR B6V|-30.80150|276.80400|0.012   |
|HR 8809|          |23 10 11.69|-66 51 27.0| 6.47|        |                                         STAR K0III|-47.34900|317.29100|        |
|HR 4530|Mu  Mus   |11 48 14.30|-66 48 52.9| 4.72|        |                                         STAR K4III|-4.70360 |296.75700|0.013   |
|HR 7513|          |19 49 53.30|-66 48 46.1| 6.45|        |                                         STAR K4III|-30.50110|329.17600|        |
|HR 3537|          |08 50 34.80|-66 47 35.2| 5.35|W       |                                          STAR F5IV|-14.17440|282.27700|0.031   |
|HR 5002|          |13 17 13.01|-66 47 01.0| 4.87|        |                                           STAR K2I|-4.03910 |305.47400|0.007   |
|HR 7881|Ups Pav   |20 41 57.10|-66 45 38.9| 5.15|        |                                         STAR B9III|-35.57960|328.38800|        |
|HR 4520|Lam Mus   |11 45 36.41|-66 43 43.0| 3.64|W       |                                         STAR A7III|-4.68450 |296.48400|        |
|HR 3813|          |09 31 32.90|-66 43 09.8| 6.27|        |                                         STAR K1III|-11.10590|284.96800|        |
|HR 823 |          |02 43 26.59|-66 42 51.8| 6.26|W       |                                           STAR F5V|-46.84280|287.18800|0.010   |
|HR 3783|          |09 28 30.60|-66 42 06.8| 5.91|        |                                           STAR A0V|-11.30320|284.73600|        |
|HR 7435|          |19 39 52.10|-66 41 08.2| 6.39|W       |                                           STAR A1V|-29.51370|329.33400|        |
|HR 1598|          |04 53 30.50|-66 40 32.2| 6.41|        |                                         STAR M0III|-36.30920|277.60900|        |
|HR 7278|          |19 17 12.00|-66 39 41.0| 5.53|W       |                                           STAR A5V|-27.27260|329.22100|        |
|HR 7130|          |19 00 03.50|-66 39 11.9| 6.01|        |                                         STAR K0III|-25.58900|328.97700|        |
|HR 5500|          |14 48 44.40|-66 35 38.0| 5.91|W       |                                           STAR B2V|-6.32820 |314.22100|        |
|HR 5320|          |14 16 38.59|-66 35 16.1| 5.75|W       |                                         STAR B1III|-5.10430 |311.26500|        |
|HR 8908|          |23 27 07.20|-66 34 52.0| 6.45|        |                                         STAR K4III|-48.45860|315.38000|        |
|HR 1960|          |05 36 54.70|-66 33 37.1| 6.31|        |                                           STAR B9V|-32.10400|276.51000|        |
|HR 4814|          |12 39 55.61|-66 30 42.1| 6.26|        |                                           STAR B8V|-3.66550 |301.78300|        |
|HR 722 |          |02 25 26.30|-66 29 40.9| 6.41|        |                                         STAR M5III|-48.04440|289.17000|        |
|HR 1092|          |03 30 51.60|-66 29 22.9| 5.83|        |                                           STAR B8V|-43.68330|282.23000|        |
|HR 380 |          |01 17 03.60|-66 23 53.2| 6.24|W       |                                           STAR A0V|-50.52920|298.90200|0.010   |
|HR 3615|Alp Vol   |09 02 26.81|-66 23 46.0| 4.00|        |                                          STAR A2IV|-13.00510|282.71200|0.051   |
|HR 4025|          |10 13 30.60|-66 22 23.2| 5.16|        |                                            STAR A0|-8.19010 |288.01300|0.012   |
|HR 7663|          |20 08 20.50|-66 21 16.9| 6.45|        |                                         STAR K5III|-32.36040|329.56900|        |
|HR 5771|Eps TrA   |15 36 43.20|-66 19 00.8| 4.11|W       |                                         STAR K1III|-8.57460 |318.49000|0.038   |
|HR 5253|          |14 00 52.20|-66 16 07.0| 5.97|W       |                                         STAR F2III|-4.33350 |309.84800|        |
|HR 4977|          |13 12 48.91|-66 13 36.8| 5.90|        |                                           STAR A0V|-3.44460 |305.08800|        |
|HR 7913|Bet Pav   |20 44 57.50|-66 12 11.2| 3.42|        |                                         STAR A7III|-36.00860|328.96300|0.035   |
|HR 3081|          |07 49 40.99|-66 11 44.9| 5.79|        |                                           STAR B9V|-19.07950|278.51600|        |
|HR 7665|Del Pav   |20 08 43.61|-66 10 54.8| 3.56|        |                                          STAR G6IV|-32.41640|329.76700|0.170   |
|HR 5382|          |14 25 39.50|-66 10 23.9| 6.36|        |                                           STAR A3V|-5.02260 |312.25900|        |
|HR 3347|Bet Vol   |08 25 44.21|-66 08 12.8| 3.77|        |                                         STAR K1III|-15.84310|280.26200|0.042   |
|HR 3036|          |07 44 43.90|-66 04 18.8| 6.38|        |                                         STAR G6III|-19.48790|278.18200|        |
|HR 600 |          |01 59 41.09|-66 03 59.0| 6.10|        |                                         STAR K1III|-49.63500|292.34200|        |
|HR 2194|Eta1Dor   |06 06 09.41|-66 02 22.9| 5.71|        |                                           STAR A0V|-29.18520|275.79600|        |
|HR 5539|Zet Cir   |14 54 42.41|-65 59 29.0| 6.09|        |                                           STAR B3V|-6.05880 |315.03200|        |
|HR 7455|          |19 41 37.49|-65 51 15.1| 6.09|        |                                         STAR M0III|-29.68130|330.29300|        |
|HR 4692|          |12 20 28.01|-65 50 34.1| 6.21|        |                                           STAR B9V|-3.16150 |299.76700|        |
|HR 3495|          |08 44 30.00|-65 49 32.2| 6.05|        |                                           STAR A4V|-14.08720|281.10100|        |
|HR 5391|          |14 27 07.10|-65 49 18.1| 5.85|        |                                         STAR K3III|-4.74780 |312.52500|        |
|HR 3995|          |10 08 42.60|-65 48 55.1| 5.28|W       |                                         STAR K0III|-8.01670 |287.28600|-0.014  |
|HR 5242|          |13 58 31.20|-65 48 02.2| 6.20|W       |                                         STAR K0III|-3.81930 |309.74000|        |
|HR 4720|          |12 25 17.30|-65 46 14.2| 6.30|        |                                          STAR G8IV|-3.03500 |300.25000|        |
|HR 1104|          |03 34 24.70|-65 45 51.8| 6.75|        |                                           STAR A3V|-43.83490|281.12900|        |
|HR 2015|Del Dor   |05 44 46.39|-65 44 08.2| 4.35|        |                                           STAR A7V|-31.37190|275.47400|0.027   |
|HR 4615|          |12 06 23.11|-65 42 33.1| 6.06|W       |                                         STAR G8III|-3.24190 |298.31600|        |
|HR 4115|          |10 27 25.30|-65 42 16.9| 6.01|        |                                           STAR A2V|-6.85580 |288.83300|        |
|HR 4669|          |12 17 06.00|-65 41 34.1| 6.06|        |                                           STAR A0V|-3.05640 |299.40400|        |
|HR 5093|          |13 33 35.69|-65 37 57.0| 6.37|        |                                           STAR A0V|-3.11610 |307.26600|        |
|HR 3280|          |08 18 18.91|-65 36 47.9| 5.07|        |                                         STAR K1III|-16.21920|279.38600|0.013   |
|HR 5766|          |15 36 17.40|-65 36 47.9| 6.51|W       |                                          STAR F3IV|-7.98220 |318.87600|        |
|HR 7524|          |19 51 01.30|-65 36 18.0| 6.05|        |                                         STAR F2III|-30.64830|330.57400|        |
|HR 2245|Eta2Dor   |06 11 15.00|-65 35 21.8| 5.01|        |                                         STAR M2III|-28.64530|275.30700|0.009   |
|HR 9076|Eps Tuc   |23 59 55.01|-65 34 37.9| 4.50|        |                                          STAR B9IV|-50.70560|311.30000|        |
|HR 2408|          |06 30 03.00|-65 34 05.9| 6.29|        |                                         STAR F0III|-26.70860|275.48100|        |
|HR 4611|          |12 05 53.21|-65 32 49.9| 6.33|        |                                           STAR B6I|-3.09150 |298.23700|        |
|HR 6151|The TrA   |16 35 44.81|-65 29 43.1| 5.52|        |                                         STAR G8III|-12.05810|323.53800|0.014   |
|HR 6634|          |17 53 18.41|-65 29 21.1| 6.49|        |                                         STAR K0III|-18.79840|328.03300|        |
|HR 187 |Rho Tuc   |00 42 28.39|-65 28 05.2| 5.39|        |                                           STAR F6V|-51.63400|304.43100|0.038   |
|HR 304 |          |01 02 42.91|-65 27 22.0| 6.21|        |                                         STAR M2III|-51.63070|301.04600|        |
|HR 5851|          |15 47 53.59|-65 26 33.0| 6.18|W       |                                         STAR A5III|-8.57910 |319.94400|        |
|HR 5852|          |15 47 53.71|-65 26 33.0| 6.39|W       |                                          STAR F0IV|-8.57920 |319.94400|        |
|HR 584 |          |01 57 53.59|-65 25 28.9| 6.37|        |                                          STAR G8II|-50.29660|292.20400|        |
|HR 4492|          |11 39 29.40|-65 23 52.1| 5.17|W       |                                         STAR G2III|-3.56500 |295.53100|0.006   |
|HR 6233|          |16 51 53.90|-65 22 32.2| 6.13|        |                                          STAR B8II|-13.28210|324.72100|        |
|HR 8181|Gam Pav   |21 26 26.59|-65 21 58.0| 4.22|        |                                           STAR F6V|-40.29220|328.15700|0.111   |
|HR 4952|The Mus   |13 08 07.01|-65 18 23.0| 5.51|W       |                                           STAR B0I|-2.49100 |304.67400|        |
|HR 5611|          |15 07 56.81|-65 16 32.2| 6.17|        |                                         STAR K3III|-6.08730 |316.58200|        |
|HR 4549|          |11 51 51.19|-65 12 22.0| 4.90|W       |                                           STAR B4V|-3.05370 |296.73400|        |
|HR 5876|          |15 52 56.71|-65 09 09.0| 6.54|        |                                          STAR A5IV|-8.68920 |320.54300|        |
|HR 5000|          |13 16 44.81|-65 08 17.9| 6.07|        |                                           STAR F5V|-2.39720 |305.59000|        |
|HR 160 |          |00 36 37.39|-65 07 28.9| 6.42|        |                                         STAR K2III|-51.93070|305.45700|        |
|HR 4185|          |10 40 11.30|-65 06 02.2| 5.52|        |                                            STAR B9|-5.66280 |289.67800|        |
|HR 7036|The Pav   |18 48 37.80|-65 04 40.1| 5.73|        |                                           STAR A8V|-24.13750|330.43100|        |
|HR 3891|Ups Car   |09 47 06.70|-65 04 21.0| 6.26|W       |                                         STAR B7III|-8.81930 |285.04000|0.027   |
|HR 3890|Ups Car   |09 47 06.10|-65 04 18.8| 3.01|W       |                                           STAR A6I|-8.81950 |285.03800|0.027   |
|HR 5920|          |15 58 58.10|-65 02 16.1| 5.75|W       |                                         STAR B7III|-9.01380 |321.10600|        |
|HR 5463|Alp Cir   |14 42 30.41|-64 58 31.1| 3.19|W       |                                            STAR A0|-4.59180 |314.33500|0.056   |
|HR 8540|Del Tuc   |22 27 19.99|-64 57 59.0| 4.48|W       |                                           STAR B9V|-45.86670|323.87300|        |
|HR 4401|          |11 23 21.79|-64 57 18.0| 5.11|W       |                                           STAR B5V|-3.65970 |293.78100|0.010   |
|HR 3841|          |09 36 05.11|-64 57 02.2| 6.56|        |                                           STAR A2V|-9.50150 |284.07600|        |
|HR 3761|          |09 26 44.21|-64 55 46.9| 6.05|        |                                           STAR A3V|-10.17150|283.33600|        |
|HR 77  |Zet Tuc   |00 20 04.30|-64 52 28.9| 4.23|        |                                           STAR F9V|-51.92390|308.32200|0.134   |
|HR 7012|          |18 45 26.90|-64 52 17.0| 4.79|        |                                          STAR A5IV|-23.76280|330.56600|0.035   |
|HR 3671|NGC 2808  |09 12 02.80|-64 51 48.0|     |        |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|-11.25290|282.19300|        |
|HR 4326|          |11 06 24.19|-64 50 22.9| 6.41|        |                                           STAR A3V|-4.20850 |292.06000|        |
|HR 8249|          |21 38 02.90|-64 49 27.1| 6.20|        |                                          STAR A0IV|-41.62780|328.09700|        |
|HR 1175|Bet Ret   |03 44 12.00|-64 48 24.8| 3.85|W       |                                         STAR K2III|-43.53630|279.23600|0.042   |
|HR 6582|Eta Pav   |17 45 43.99|-64 43 26.0| 3.62|        |                                          STAR K2II|-17.75030|328.40100|0.025   |
|HR 8331|          |21 50 00.10|-64 42 45.0| 5.62|        |                                         STAR K0III|-42.79820|327.40200|        |
|HR 8945|          |23 35 12.70|-64 41 21.8| 7.40|W       |                                          STAR F2IV|-50.52030|315.61400|        |
|HR 8125|          |21 18 00.31|-64 40 54.1| 6.31|        |                                           STAR B8V|-39.74190|329.43500|        |
|HR 4065|          |10 19 04.80|-64 40 35.0| 5.67|W       |                                           STAR A1V|-6.46260 |287.53200|        |
|HR 5069|          |13 29 07.61|-64 40 32.9| 6.11|        |                                            STAR A0|-2.09850 |306.95000|        |
|HR 6996|          |18 42 22.51|-64 38 35.2| 6.37|        |                                           STAR A5V|-23.38980|330.72200|        |
|HR 4616|Eta Cru   |12 06 52.90|-64 36 49.0| 4.15|W       |                                         STAR F2III|-2.15390 |298.17800|0.053   |
|HR 3346|          |08 25 51.60|-64 36 02.9| 5.97|        |                                         STAR G8III|-15.01350|278.92000|        |
|HR 4384|          |11 19 16.51|-64 34 57.0| 5.99|        |                                          STAR F6IV|-3.45850 |293.24300|        |
|HR 5130|          |13 40 10.90|-64 34 36.8| 5.79|        |                                         STAR F3III|-2.19870 |308.13500|        |
|HR 7004|          |18 43 37.20|-64 33 04.0| 5.78|        |                                         STAR K0III|-23.49660|330.85500|        |
|HR 6740|          |18 07 48.31|-64 33 00.0| 6.41|        |                                         STAR K2III|-19.83800|329.58500|        |
|HR 5041|          |13 24 00.50|-64 32 08.9| 4.53|        |                                          STAR G6II|-1.88520 |306.42500|0.002   |
|HR 5725|          |15 27 33.10|-64 31 53.0| 5.71|        |                                         STAR K5III|-6.56720 |318.74900|        |
|HR 4219|          |10 46 16.51|-64 30 54.0| 5.34|        |                                           STAR B6V|-4.84010 |289.97200|        |
|HR 2888|          |07 28 51.31|-64 30 36.0| 6.39|        |                                         STAR K5III|-20.44710|275.98400|        |
|HR 3632|          |09 06 07.61|-64 29 58.9| 6.37|        |                                         STAR K3III|-11.48580|281.48700|        |
|HR 3948|          |09 57 15.19|-64 29 21.8| 6.58|        |                                         STAR K0III|-7.68370 |285.51000|        |
|HR 5048|          |13 25 13.90|-64 29 07.1| 5.31|W       |                                         STAR F2III|-1.85190 |306.56200|0.008   |
|HR 2104|          |05 54 11.90|-64 28 55.9| 6.63|        |                                         STAR F0III|-30.41530|273.98200|        |
|HR 4196|          |10 42 13.99|-64 27 59.0| 4.82|        |                                           STAR B4V|-5.00200 |289.56300|        |
|HR 880 |          |02 54 20.90|-64 26 08.2| 6.56|        |                                         STAR K2III|-47.85730|283.74700|        |
|HR 4653|          |12 14 16.80|-64 24 31.0| 6.22|        |                                           STAR B1I|-1.82580 |298.93200|        |
|HR 8996|          |23 44 12.00|-64 24 15.8| 5.72|        |                                          STAR K2II|-51.19610|314.43200|0.007   |
|HR 4199|The Car   |10 42 57.41|-64 23 39.8| 2.76|        |                                           STAR B0V|-4.90160 |289.59800|        |
|HR 4222|          |10 46 51.19|-64 22 59.9| 4.85|        |                                          STAR B3IV|-4.69450 |289.96600|        |
|HR 420 |          |01 25 05.30|-64 22 09.8| 5.93|        |                                         STAR K5III|-52.36830|296.98300|        |
|HR 4744|          |12 28 18.91|-64 20 29.0| 6.04|        |                                           STAR A0V|-1.58190 |300.43100|        |
|HR 4578|          |11 58 47.69|-64 20 21.1| 5.61|        |                                           STAR A3I|-2.04760 |297.27000|        |
|HR 734 |          |02 28 04.39|-64 17 58.9| 6.37|        |                                           STAR A0V|-49.73160|286.99400|        |
|HR 9062|Eta Tuc   |23 57 35.21|-64 17 53.9| 5.00|        |                                           STAR A1V|-51.83540|312.33600|0.036   |
|HR 798 |          |02 39 31.70|-64 16 54.8| 6.55|        |                                           STAR B8V|-49.01260|285.43900|        |
|HR 4220|          |10 46 29.69|-64 15 47.9| 5.23|W       |                                          STAR B7IV|-4.60610 |289.87600|        |
|HR 4204|          |10 43 51.19|-64 14 56.0| 5.77|        |                                           STAR B2V|-4.72740 |289.61500|        |
|HR 1917|          |05 32 59.59|-64 13 39.0| 5.34|        |                                         STAR G8III|-32.71790|273.80100|0.010   |
|HR 1294|          |04 07 21.60|-64 13 21.0| 6.38|        |                                           STAR G3V|-41.65350|276.88300|0.038   |
|HR 4120|          |10 28 52.61|-64 10 19.9| 5.29|        |                                         STAR M0III|-5.46980 |288.15700|0.010   |
|HR 4355|          |11 12 45.19|-64 10 10.9| 5.23|W       |                                           STAR B8V|-3.32770 |292.43500|        |
|HR 3298|          |08 21 07.70|-64 06 22.0| 6.12|        |                                         STAR G6III|-15.18600|278.20500|        |
|HR 909 |Bet Hor   |02 58 47.81|-64 04 17.0| 4.99|        |                                         STAR A3III|-47.78890|282.85200|        |
|HR 6109|Iot TrA   |16 27 57.31|-64 03 29.2| 5.27|W       |                                          STAR F4IV|-10.48060|324.06300|0.029   |
|HR 2073|          |05 51 22.99|-64 02 01.0| 6.36|        |                                         STAR G8III|-30.72350|273.46300|        |
|HR 5593|Eta Cir   |15 04 48.19|-64 01 54.1| 5.17|        |                                         STAR G8III|-4.84050 |316.90900|0.032   |
|HR 4679|Zet Cru   |12 18 26.09|-64 00 11.2| 4.04|W       |                                           STAR B2V|-1.36260 |299.32500|        |
|HR 4413|          |11 25 43.20|-63 58 22.1| 5.17|        |                                           STAR F7V|-2.64870 |293.69700|0.040   |
|HR 4205|          |10 44 06.89|-63 57 40.0| 4.82|        |                                           STAR B5V|-4.46010 |289.50400|        |
|HR 8073|          |21 08 32.90|-63 55 44.0| 5.76|        |                                         STAR K0III|-39.04100|330.80800|        |
|HR 1882|          |05 30 15.91|-63 55 40.1| 6.19|W       |                                          STAR F0IV|-33.04130|273.47600|        |
|HR 6828|          |18 19 40.20|-63 53 12.8| 6.18|W       |                                           STAR F9V|-20.81280|330.73000|0.017   |
|HR 2360|          |06 24 55.61|-63 49 40.1| 6.27|        |                                           STAR B6V|-27.03520|273.46800|        |
|HR 5527|          |14 52 34.99|-63 48 36.0| 5.87|I       |                                          STAR G3II|-4.01310 |315.82500|        |
|HR 3217|          |08 08 24.50|-63 48 04.0| 6.28|        |                                           STAR B6V|-16.23890|277.20100|        |
|HR 4736|          |12 27 24.60|-63 47 21.1| 6.00|        |                                          STAR B8IV|-1.04100 |300.28200|        |
|HR 4537|          |11 49 41.09|-63 47 17.9| 4.32|        |                                           STAR B3V|-1.72940 |296.17700|        |
|HR 5939|          |16 01 10.70|-63 46 36.1| 6.41|        |                                          STAR F8II|-8.22390 |322.12900|        |
|HR 833 |Gam Hor   |02 45 27.50|-63 42 15.8| 5.74|W       |                                         STAR G8III|-49.04890|284.11300|        |
|HR 6796|          |18 14 16.20|-63 41 21.8| 6.47|W       |                                         STAR K4III|-20.18490|330.71000|        |
|HR 5241|          |13 57 38.90|-63 41 12.1| 4.71|        |                                         STAR K1III|-1.75180 |310.19000|0.033   |
|HR 6030|Del TrA   |16 15 26.30|-63 41 08.2| 3.85|W       |                                           STAR G2I|-9.23280 |323.36000|0.029   |
|HR 2337|          |06 23 01.30|-63 40 59.2| 6.27|        |                                         STAR M1III|-27.22710|273.27900|        |
|HR 6745|Pi  Pav   |18 08 34.80|-63 40 05.9| 4.35|        |                                            STAR A7|-19.58940|330.48700|0.036   |
|HR 5623|          |15 09 25.49|-63 38 34.1| 6.28|        |                                            STAR A0|-4.75730 |317.54600|        |
|HR 5666|Eps Cir   |15 17 38.90|-63 36 38.2| 4.86|        |                                         STAR K2III|-5.20380 |318.34700|0.004   |
|HR 3159|          |08 00 19.99|-63 34 03.0| 4.82|        |                                           STAR B3V|-16.91810|276.54600|        |
|HR 4771|          |12 31 55.80|-63 30 22.0| 5.95|        |                                         STAR A8III|-0.71660 |300.75800|        |
|HR 1236|          |03 56 04.01|-63 27 49.0| 6.14|        |                                         STAR K1III|-43.10730|276.74100|        |
|HR 5897|Bet TrA   |15 55 08.50|-63 25 50.2| 2.85|W       |                                         STAR F2III|-7.52340 |321.84500|0.083   |
|HR 2354|          |06 24 26.30|-63 25 44.0| 6.46|        |                                         STAR G3III|-27.03990|273.01600|        |
|HR 7707|          |20 14 26.90|-63 24 56.9| 6.09|        |                                          STAR F0IV|-33.29150|332.97400|        |
|HR 1695|          |05 07 34.01|-63 23 58.9| 5.20|        |                                         STAR M3III|-35.60600|273.25400|0.018   |
|HR 1395|Eta Ret   |04 21 53.30|-63 23 11.0| 5.24|        |                                         STAR G8III|-40.52310|275.01100|0.016   |
|HR 4599|The1Cru   |12 03 01.51|-63 18 46.1| 4.33|W       |                                            STAR A0|-0.95010 |297.52800|0.021   |
|HR 4972|          |13 11 53.11|-63 18 10.1| 6.33|        |                                          STAR A8II|-0.52210 |305.22600|        |
|HR 3139|          |07 57 12.50|-63 17 48.8| 6.14|        |                                           STAR B8V|-17.10640|276.12800|        |
|HR 4563|          |11 54 59.81|-63 16 44.0| 5.91|        |                                           STAR A3I|-1.09890 |296.63700|        |
|HR 6253|          |16 55 24.70|-63 16 10.9| 6.02|W       |                                         STAR A0III|-12.30640|326.67400|        |
|HR 1372|The Ret   |04 17 40.20|-63 15 20.2| 5.87|W       |                                         STAR B9III|-41.01110|275.08600|        |
|HR 7732|          |20 19 03.00|-63 13 52.0| 6.27|        |                                         STAR K0III|-33.82410|333.13200|        |
|HR 1540|          |04 44 57.89|-63 13 46.9| 6.46|        |                                         STAR K0III|-38.11670|273.75400|        |
|HR 5289|          |14 08 14.30|-63 12 29.2| 6.40|        |                                         STAR G8III|-1.61500 |311.46000|        |
|HR 2754|          |07 12 01.99|-63 11 24.0| 6.02|W       |                                          STAR A0IV|-21.77380|274.00300|0.005   |
|HR 8689|          |22 52 09.91|-63 11 19.0| 6.12|W       |                                         STAR K0III|-49.04720|322.94300|        |
|HR 4603|The2Cru   |12 04 19.20|-63 09 56.2| 4.72|        |                                          STAR B2IV|-0.77850 |297.64400|        |
|HR 6089|          |16 25 22.01|-63 07 28.9| 6.15|        |                                           STAR A1V|-9.63230 |324.55500|        |
|HR 4729|          |12 26 30.91|-63 07 21.0| 4.86|W       |                                          STAR B4IV|-0.38680 |300.12000|        |
|HR 8919|          |23 29 01.01|-63 06 38.9| 5.68|        |                                            STAR A0|-51.57710|317.77200|        |
|HR 4731|Alp2Cru   |12 26 36.50|-63 05 57.8| 1.73|W       |                                           STAR B1V|-0.36290 |300.12800|0.008   |
|HR 4730|Alp1Cru   |12 26 35.90|-63 05 57.1| 1.33|W       |                                          STAR B0IV|-0.36270 |300.12700|0.008   |
|HR 2102|          |05 54 06.10|-63 05 24.0| 4.65|        |                                         STAR K1III|-30.41970|272.36800|0.048   |
|HR 4830|          |12 42 50.30|-63 03 31.0| 5.31|        |                                         STAR B1III|-0.20300 |301.95800|        |
|HR 6805|          |18 15 40.90|-63 03 20.2| 5.60|W       |                                         STAR K0III|-20.10990|331.40100|        |
|HR 6471|          |17 28 07.70|-63 02 11.0| 6.24|        |                                           STAR B7V|-15.24420|328.98800|        |
|HR 136 |Bet3Tuc   |00 32 43.80|-63 01 52.0| 5.09|W       |                                           STAR A0V|-53.96600|306.53600|0.049   |
|HR 6871|          |18 25 31.51|-63 01 17.0| 6.14|        |                                           STAR A3V|-21.14980|331.83400|        |
|HR 4467|Lam Cen   |11 35 46.80|-63 01 10.9| 3.13|W       |                                         STAR B9III|-1.39720 |294.47300|        |
|HR 127 |Bet2Tuc   |00 31 33.60|-62 57 56.9| 4.54|W       |                                           STAR A2V|-54.01380|306.77400|0.030   |
|HR 126 |Bet1Tuc   |00 31 32.71|-62 57 29.2| 4.37|W       |                                           STAR B9V|-54.02130|306.77900|0.030   |
|HR 9060|          |23 57 19.90|-62 57 23.0| 5.97|        |                                          STAR A1IV|-53.08730|313.13100|        |
|HR 4644|          |12 12 22.01|-62 57 02.9| 5.92|        |                                           STAR B8I|-0.41520 |298.50700|        |
|HR 1083|Kap Ret   |03 29 22.70|-62 56 15.0| 4.72|W       |                                          STAR F5IV|-45.93600|278.35100|0.060   |
|HR 3260|          |08 15 15.91|-62 54 56.9| 5.16|W       |                                           STAR A2V|-15.13230|276.79900|0.031   |
|HR 866 |          |02 52 19.20|-62 54 34.9| 6.03|        |                                         STAR K1III|-49.12770|282.42800|        |
|HR 7872|          |20 39 51.41|-62 54 28.1| 6.22|        |                                         STAR K1III|-36.20110|333.09100|        |
|HR 4513|          |11 43 52.90|-62 52 41.9| 6.10|        |                                         STAR A2III|-1.00920 |295.32000|        |
|HR 5482|          |14 45 17.30|-62 52 32.9| 5.36|W       |                                           STAR A9V|-2.81520 |315.49700|0.011   |
|HR 257 |          |00 53 37.90|-62 52 17.0| 5.70|        |                                         STAR M4III|-54.25500|302.50400|        |
|HR 6440|          |17 24 01.10|-62 51 51.1| 5.70|        |                                          STAR B2IV|-14.75480|328.89300|        |
|HR 3432|          |08 37 18.79|-62 51 13.0| 5.47|W       |                                         STAR K0III|-12.98890|278.15000|0.020   |
|HR 9023|          |23 49 44.69|-62 50 21.8| 6.59|        |                                         STAR K5III|-52.87670|314.53600|        |
|HR 3186|          |08 04 42.89|-62 50 10.0| 6.30|W       |                                           STAR B2V|-16.13970|276.11200|        |
|HR 1475|          |04 33 34.01|-62 49 25.0| 5.79|W       |                                         STAR K1III|-39.47130|273.73600|        |
|HR 852 |Nu  Hor   |02 49 01.49|-62 48 24.1| 5.26|        |                                           STAR A2V|-49.45830|282.74400|0.001   |
|HR 7111|          |18 56 54.70|-62 48 04.0| 6.48|        |                                         STAR K3III|-24.53680|333.08500|        |
|HR 3816|          |09 32 14.59|-62 47 20.0| 6.10|W       |                                         STAR M6III|-8.21170 |282.26900|        |
|HR 5551|The Cir   |14 56 43.99|-62 46 50.9| 5.11|W       |                                           STAR B4V|-3.31050 |316.71100|        |
|HR 3914|          |09 50 55.70|-62 44 43.1| 5.57|        |                                         STAR K1III|-6.76550 |283.85700|        |
|HR 8829|          |23 14 06.60|-62 42 00.0| 6.12|        |                                           STAR G8V|-50.99840|320.40600|0.032   |
|HR 4541|          |11 50 27.19|-62 38 57.8| 5.70|        |                                           STAR A2I|-0.60220 |295.99200|        |
|HR 5884|          |15 53 22.80|-62 36 24.8| 6.19|        |                                         STAR K3III|-6.76370 |322.22400|        |
|HR 5171|          |13 47 10.70|-62 35 24.0| 6.51|W       |                                           STAR K0I|-0.40910 |309.29700|        |
|HR 762 |          |02 33 33.60|-62 35 12.8| 6.77|        |                                           STAR B9V|-50.76180|284.65000|        |
