|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |bii      |lii      |parallax|
|HR 7785|          |20 33 17.50|-80 57 54.0| 5.77|W       |                                          STAR G6II|-30.69140|312.42200|        |
|HR 3860|Zet Cha   |09 33 53.21|-80 56 29.0| 5.11|        |                                           STAR B5V|-21.04390|295.57400|        |
|HR 3393|          |08 24 19.80|-80 54 51.1| 5.69|        |                                         STAR G8III|-23.25620|293.84400|        |
|HR 8810|          |23 12 12.00|-80 54 46.1| 6.41|        |                                         STAR K4III|-35.29950|307.58900|        |
|HR 6429|          |17 31 27.29|-80 51 33.1| 5.88|        |                                         STAR M3III|-23.69360|312.31500|        |
|HR 2559|Zet Men   |06 40 02.71|-80 48 49.0| 5.64|        |                                         STAR A5III|-27.20620|292.60400|        |
|HR 3795|Iot Cha   |09 24 09.10|-80 47 12.8| 5.36|        |                                          STAR F3IV|-21.22450|295.17200|        |
|HR 4234|Del2Cha   |10 45 46.80|-80 32 25.1| 4.45|        |                                          STAR B2IV|-18.96240|297.73500|        |
|HR 4231|Del1Cha   |10 45 15.70|-80 28 10.9| 5.47|W       |                                         STAR K0III|-18.91150|297.67900|0.003   |
|HR 2022|Pi  Men   |05 37 09.79|-80 28 09.1| 5.65|        |                                           STAR G1V|-29.77630|292.51300|0.044   |
|HR 8481|Eps Oct   |22 20 01.51|-80 26 22.9| 5.10|        |                                         STAR M5III|-34.49690|310.03500|        |
|HR 6837|          |18 29 19.49|-80 13 58.1| 5.95|        |                                         STAR K2III|-25.77430|313.74000|        |
|HR 1426|Del Men   |04 17 59.09|-80 12 50.0| 5.69|        |                                         STAR K2III|-32.90400|293.79800|        |
|HR 550 |Tau2Hyi   |01 47 46.51|-80 10 36.1| 6.06|W       |                                          STAR F0IV|-36.62500|299.96600|        |
|HR 8663|Xi  Oct   |22 50 22.90|-80 07 27.1| 5.35|        |                                          STAR B6IV|-35.52570|309.02900|        |
|HR 5336|Eps Aps   |14 22 22.70|-80 06 32.0| 5.06|        |                                           STAR B4V|-17.95100|306.93400|        |
|HR 8201|          |21 33 20.59|-80 02 21.1| 6.47|W       |                                           STAR A0V|-33.30120|311.99000|        |
|HR 4206|          |10 41 51.29|-79 46 59.9| 5.97|        |                                          STAR B4IV|-18.38870|297.18500|        |
|HR 4385|          |11 18 34.30|-79 40 07.0| 6.35|        |                                         STAR A8III|-17.57190|298.67900|        |
|HR 4268|          |10 52 27.50|-79 33 33.8| 6.33|        |                                          STAR K2II|-17.96300|297.50900|        |
|HR 3543|          |08 45 55.20|-79 30 15.8| 5.79|        |                                         STAR K5III|-21.75860|293.01800|        |
|HR 8786|          |23 08 23.71|-79 28 50.9| 6.12|        |                                           STAR A3V|-36.48780|308.59600|        |
|HR 8849|          |23 19 08.11|-79 28 22.1| 6.33|        |                                         STAR K0III|-36.71970|308.05700|        |
|HR 8234|          |21 38 56.21|-79 26 33.0| 6.18|        |                                          STAR F4IV|-33.85620|312.38800|        |
|HR 2689|The Men   |06 56 34.39|-79 25 13.1| 5.45|        |                                           STAR B9V|-26.39580|291.10700|        |
|HR 2125|Kap Men   |05 50 16.70|-79 21 41.0| 5.47|        |                                           STAR B9V|-29.43740|291.13300|        |
