,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 55,NGC 55,Galaxy,Sculptor,8.0,32.0,0,14.9,-,39,11,,True,7.72,167.64,21h20m,3h18m,4.07
1,NGC 246,NGC 246,Planetary Nebula,Cetus,8.0,3.8,0,47.0,-,11,53,,True,31.92,152.15,19h30m,6h12m,6.97
2,NGC 253,NGC 253,Galaxy,Sculptor,7.1,25.0,0,47.6,-,25,17,,True,19.26,157.04,20h27m,5h16m,6.03
3,NGC 281,NGC 281,Cluster Nebulosity,Cassiopeia,7.0,35.0,0,52.8,+,56,37,,True,68.2,39.16,---,---,---
7,NGC 2403,NGC 2403,Galaxy,Camelopardalis,8.4,17.0,7,36.9,+,65,36,,True,25.28,21.55,---,---,---
20,NGC 6604,NGC 6604,Cluster Nebulosity,Serpens,6.5,60.0,18,18.1,-,12,14,,True,3.99,249.76,13h04m,23h39m,0.42
21,NGC 7009,NGC 7009,Planetary Nebula,Aquarius,8.0,1.7,21,4.2,-,11,22,,True,29.24,216.3,15h46m,2h32m,3.3
22,NGC 7023,NGC 7023,Cluster Nebulosity,Cepheus,7.0,18.0,21,0.5,+,68,10,,True,58.62,337.41,---,---,---
23,NGC 7380,NGC 7380,Cluster Nebulosity,Cepheus,7.2,25.0,22,47.0,+,58,6,,True,73.35,348.77,---,---,---
24,M1,NGC 1952 Crab Nebula,Supernova Remnant,Taurus,8.4,6.0,5,34.5,+,22,1.0,"6,300",True,10.54,69.68,22h08m,13h08m,13.9
25,M16,NGC 6611 Eagle Nebula Cluster,Diffuse Nebula,Serpens Claudia,6.4,7.0,18,18.8,-,13,47.0,"7,000",True,3.07,248.51,13h11m,23h33m,0.32
26,M17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,7.0,11.0,18,20.8,-,16,11.0,"5,000",True,1.83,246.49,13h22m,23h26m,0.2
27,M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19,59.6,+,22,43.0,"1,250",True,45.86,259.62,12h31m,3h38m,4.4
28,M32,NGC 221 Satellite of M31,Elliptical Galaxy,Andromeda,8.1,8.0,0,42.7,+,40,52.0,"2,900,000",True,72.93,85.86,15h13m,10h21m,11.12
29,M33,NGC 598 Triangulum/Pinwheel Galaxy,Spiral Galaxy,Triangulum,5.7,73.0,1,33.9,+,30,39.0,"3,000,000",True,59.47,99.94,17h23m,9h53m,10.65
31,M51,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,Canes Venatici,8.4,11.0,13,29.9,+,47,12.0,"37,000,000",True,4.42,337.22,2h09m,1h02m,1.8
34,M81,NGC 3031 Bode¹s Galaxy,Spiral Galaxy,Ursa Major,6.9,21.0,9,55.6,+,69,4.0,"12,000,000",True,21.92,7.17,---,---,---
35,M82,NGC 3034 Cigar Galaxy,Irregular Galaxy,Ursa Major,8.4,9.0,9,55.8,+,69,41.0,"12,000,000",True,22.51,6.96,---,---,---
38,M101,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,Ursa Major,7.9,22.0,14,3.2,+,54,21.0,"27,000,000",True,13.09,335.93,---,---,---
40,M106,NGC 4258,Spiral Galaxy,Canes Venatici,8.4,19.0,12,19.0,+,47,18.0,"25,000,000",True,0.88,348.63,0h53m,23h54m,0.67
41,M110,NGC 205 Satellite of M31,Elliptical Galaxy,Andromeda,8.5,17.0,0,40.4,+,41,41.0,"2,900,000",True,73.5,83.32,15h02m,10h28m,11.23
45,Jupiter,Jupiter,Planet,---,-2.48,0.71,---,---,---,---,---,0.0,True,13.21,71.5,21h53m,12h56m,13.7
46,Saturn,Saturn,Planet,---,0.67,0.74,---,---,---,---,---,0.0,True,39.7,182.4,17h34m,4h43m,5.48
47,Uranus,Uranus,Planet,---,5.68,0.24,---,---,---,---,---,0.0,True,30.06,90.58,20h24m,10h58m,11.73
48,Neptune,Neptune,Planet,---,7.69,0.1,---,---,---,---,---,0.0,True,44.97,164.83,18h02m,5h56m,6.7
