,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
2099,NGC 7309,NGC 7309,Galaxy,Aquarius,12.5,2.1,22,34.3,-,10,21,,True,34.85,202.76,5h10m,15h52m,3.1
2100,NGC 7316,NGC 7316,Galaxy,Pegasus,14.0,1.3,22,35.9,+,20,19,,True,63.29,221.29,3h16m,17h50m,5.07
2101,NGC 7317,NGC 7317,Galaxy,Pegasus,13.6,1.0,22,35.9,+,33,57,,True,73.41,246.86,2h04m,19h01m,6.25
2102,NGC 7318,NGC 7318,Galaxy,Pegasus,13.1,1.9,22,36.0,+,33,58,,True,73.43,246.88,2h04m,19h01m,6.25
2103,NGC 7319,NGC 7319,Galaxy,Pegasus,13.1,1.7,22,36.1,+,33,59,,True,73.46,246.87,2h04m,19h01m,6.25
2104,NGC 7320,NGC 7320,Galaxy,Pegasus,12.7,2.2,22,36.1,+,33,57,,True,73.44,246.79,2h04m,19h01m,6.25
2106,NGC 7331,NGC 7331,Galaxy,Pegasus,9.5,10.0,22,37.1,+,34,25,,True,73.88,247.75,2h02m,19h05m,6.32
2107,NGC 7332,NGC 7332,Galaxy,Pegasus,11.0,4.2,22,37.4,+,23,48,,True,66.38,225.11,3h01m,18h07m,5.35
2108,NGC 7335,NGC 7335,Galaxy,Pegasus,15.0,1.7,22,37.3,+,34,27,,True,73.94,247.74,2h02m,19h06m,6.33
2109,NGC 7339,NGC 7339,Galaxy,Pegasus,12.1,3.0,22,37.8,+,23,47,,True,66.42,224.91,3h02m,18h07m,5.35
2110,NGC 7343,NGC 7343,Galaxy,Pegasus,13.4,1.2,22,38.6,+,34,4,,True,73.95,246.07,2h06m,19h04m,6.3
2111,NGC 7348,NGC 7348,Galaxy,Pegasus,15.0,1.3,22,40.6,+,11,54,,True,56.32,211.59,3h54m,17h20m,4.57
2112,NGC 7354,NGC 7354,Planetary Nebula,Cepheus,13.0,0.3,22,40.4,+,61,17,,True,68.11,337.4,---,---,---
2113,NGC 7363,NGC 7363,Galaxy,Pegasus,15.0,1.1,22,43.3,+,34,0,,True,74.69,243.76,2h11m,19h09m,6.38
2114,NGC 7371,NGC 7371,Galaxy,Aquarius,12.1,2.1,22,46.1,-,11,0,,True,35.01,199.17,5h24m,16h02m,3.27
2115,NGC 7377,NGC 7377,Galaxy,Aquarius,11.6,2.2,22,47.8,-,22,19,,True,24.11,195.69,6h12m,15h17m,2.52
2116,NGC 7380,NGC 7380,Cluster Nebulosity,Cepheus,7.2,25.0,22,47.0,+,58,6,,True,71.16,333.93,---,---,---
2117,NGC 7383,NGC 7383,Galaxy,Pegasus,13.9,1.0,22,49.6,+,11,36,,True,56.82,207.65,4h05m,17h28m,4.7
2118,NGC 7385,NGC 7385,Galaxy,Pegasus,12.3,1.6,22,49.9,+,11,36,,True,56.9,207.55,4h05m,17h28m,4.7
2119,NGC 7386,NGC 7386,Galaxy,Pegasus,12.5,2.1,22,50.0,+,11,42,,True,56.99,207.56,4h05m,17h29m,4.72
2120,NGC 7387,NGC 7387,Galaxy,Pegasus,14.0,0.7,22,50.3,+,11,38,,True,56.96,207.41,4h05m,17h29m,4.72
2121,NGC 7389,NGC 7389,Galaxy,Pegasus,13.4,1.3,22,50.3,+,11,35,,True,56.89,207.37,4h05m,17h28m,4.7
2122,NGC 7392,NGC 7392,Galaxy,Aquarius,11.9,2.0,22,51.8,-,20,36,,True,25.97,195.08,6h09m,15h29m,2.72
2123,NGC 7393,NGC 7393,Galaxy,Aquarius,14.0,2.0,22,51.7,-,5,33,,True,40.62,199.18,5h09m,16h27m,3.68
2124,NGC 7410,NGC 7410,Galaxy,Grus,10.4,5.5,22,55.0,-,39,40,,True,7.48,190.57,8h06m,13h38m,0.87
2125,NGC 7412,NGC 7412,Galaxy,Grus,11.4,4.0,22,55.8,-,42,39,,True,4.63,189.91,8h37m,13h08m,0.37
2126,NGC 7416,NGC 7416,Galaxy,Aquarius,12.3,3.4,22,55.7,-,5,30,,True,40.92,197.9,5h13m,16h32m,3.77
2127,NGC 7418,NGC 7418,Galaxy,Grus,11.4,3.3,22,56.6,-,37,2,,True,10.1,190.73,7h45m,14h01m,1.25
2128,NGC 7419,NGC 7419,Open Cluster,Cepheus,13.0,2.0,22,54.3,+,60,50,,True,69.44,340.59,---,---,---
2129,NGC 7421,NGC 7421,Galaxy,Grus,12.0,2.2,22,56.9,-,37,21,,True,9.8,190.61,7h48m,13h59m,1.22
2130,NGC 7423,NGC 7423,Open Cluster,Cepheus,15.0,6.0,22,55.3,+,57,8,,True,72.62,334.61,---,---,---
2131,NGC 7424,NGC 7424,Galaxy,Grus,11.0,7.6,22,57.3,-,41,4,,True,6.19,189.89,8h22m,13h26m,0.67
2132,NGC 7428,NGC 7428,Galaxy,Pisces,14.0,2.6,22,57.3,-,1,2,,True,45.33,198.79,4h59m,16h49m,4.05
2133,NGC 7437,NGC 7437,Galaxy,Pegasus,13.0,1.9,22,58.2,+,14,18,,True,60.12,205.7,4h03m,17h47m,5.02
2134,NGC 7440,NGC 7440,Galaxy,Andromeda,15.0,1.9,22,58.5,+,35,48,,True,78.28,242.07,2h14m,19h36m,6.83
2135,NGC 7442,NGC 7442,Galaxy,Pegasus,14.0,1.2,22,59.4,+,15,33,,True,61.39,205.95,3h59m,17h53m,5.12
2136,NGC 7443,NGC 7443,Galaxy,Aquarius,14.0,1.8,23,0.1,-,12,48,,True,34.0,194.61,5h45m,16h09m,3.38
2137,NGC 7444,NGC 7444,Galaxy,Aquarius,14.0,2.0,23,0.1,-,12,50,,True,33.98,194.6,5h45m,16h09m,3.38
2138,NGC 7448,NGC 7448,Galaxy,Pegasus,11.7,2.7,23,0.1,+,15,59,,True,61.85,205.97,3h58m,17h56m,5.17
2139,NGC 7454,NGC 7454,Galaxy,Pegasus,14.0,2.0,23,1.1,+,16,23,,True,62.32,205.75,3h57m,17h58m,5.2
2140,NGC 7456,NGC 7456,Galaxy,Grus,12.0,5.9,23,2.1,-,39,35,,True,7.79,189.21,8h12m,13h46m,1.0
2141,NGC 7457,NGC 7457,Galaxy,Pegasus,10.8,4.4,23,1.0,+,30,9,,True,74.6,223.37,2h52m,19h03m,6.28
2142,NGC 7460,NGC 7460,Galaxy,Pisces,14.0,1.3,23,1.8,+,2,16,,True,48.81,198.38,4h51m,17h06m,4.33
2143,NGC 7462,NGC 7462,Galaxy,Grus,13.0,3.7,23,2.8,-,40,50,,True,6.58,188.9,8h25m,13h34m,0.8
2144,NGC 7463,NGC 7463,Galaxy,Pegasus,13.0,3.0,23,1.9,+,15,59,,True,62.0,205.1,4h00m,17h57m,5.18
2145,NGC 7464,NGC 7464,Galaxy,Pegasus,14.0,0.7,23,1.9,+,15,58,,True,61.99,205.08,4h00m,17h57m,5.18
2146,NGC 7465,NGC 7465,Galaxy,Pegasus,13.0,1.6,23,2.0,+,15,58,,True,61.99,205.01,4h00m,17h57m,5.18
2147,NGC 7468,NGC 7468,Galaxy,Pegasus,14.0,1.1,23,3.0,+,16,36,,True,62.67,204.99,3h58m,18h01m,5.25
2148,NGC 7469,NGC 7469,Galaxy,Pegasus,11.9,1.8,23,3.3,+,8,52,,True,55.3,200.44,4h29m,17h31m,4.75
2149,NGC 7479,NGC 7479,Galaxy,Pegasus,11.0,4.1,23,4.9,+,12,19,,True,58.73,201.42,4h17m,17h46m,5.0
