,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 55,NGC 55,Galaxy,Sculptor,8.0,32.0,0,14.9,-,39,11,,True,8.97,180.87,20h57m,2h55m,2.88
1,NGC 246,NGC 246,Planetary Nebula,Cetus,8.0,3.8,0,47.0,-,11,53,,True,35.85,171.61,19h07m,5h49m,5.78
2,NGC 253,NGC 253,Galaxy,Sculptor,7.1,25.0,0,47.6,-,25,17,,True,22.51,173.09,20h04m,4h53m,4.85
3,NGC 281,NGC 281,Cluster Nebulosity,Cassiopeia,7.0,35.0,0,52.8,+,56,37,,True,74.42,17.22,---,---,---
6,NGC 2403,NGC 2403,Galaxy,Camelopardalis,8.4,17.0,7,36.9,+,65,36,,True,30.45,26.88,---,---,---
17,NGC 7009,NGC 7009,Planetary Nebula,Aquarius,8.0,1.7,21,4.2,-,11,22,,True,20.48,231.9,15h23m,2h08m,2.1
18,NGC 7023,NGC 7023,Cluster Nebulosity,Cepheus,7.0,18.0,21,0.5,+,68,10,,True,53.17,331.92,---,---,---
19,NGC 7380,NGC 7380,Cluster Nebulosity,Cepheus,7.2,25.0,22,47.0,+,58,6,,True,68.3,326.16,---,---,---
20,M1,NGC 1952 Crab Nebula,Supernova Remnant,Taurus,8.4,6.0,5,34.5,+,22,1.0,"6,300",True,22.63,80.11,21h45m,12h45m,12.72
23,M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19,59.6,+,22,43.0,"1,250",True,33.33,271.81,12h07m,3h14m,3.2
24,M32,NGC 221 Satellite of M31,Elliptical Galaxy,Andromeda,8.1,8.0,0,42.7,+,40,52.0,"2,900,000",True,85.48,101.55,14h50m,9h57m,9.92
26,M51,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,Canes Venatici,8.4,11.0,13,29.9,+,47,12.0,"37,000,000",True,0.9,348.13,1h45m,0h39m,0.62
28,M78,NGC 2068,Diffuse Nebula,Orion,8.3,8.0,5,46.7,+,0,3.0,"1,600",True,6.18,95.45,23h23m,11h31m,11.48
29,M81,NGC 3031 Bode¹s Galaxy,Spiral Galaxy,Ursa Major,6.9,21.0,9,55.6,+,69,4.0,"12,000,000",True,24.16,13.3,---,---,---
30,M82,NGC 3034 Cigar Galaxy,Irregular Galaxy,Ursa Major,8.4,9.0,9,55.8,+,69,41.0,"12,000,000",True,24.69,12.95,---,---,---
33,M101,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,Ursa Major,7.9,22.0,14,3.2,+,54,21.0,"27,000,000",True,8.91,345.04,---,---,---
36,M110,NGC 205 Satellite of M31,Elliptical Galaxy,Andromeda,8.5,17.0,0,40.4,+,41,41.0,"2,900,000",True,86.06,91.67,14h38m,10h04m,10.03
39,Mars,Mars,Planet,---,0.38,0.13,---,---,---,---,---,0.0,True,4.91,63.26,23h28m,14h34m,14.53
40,Jupiter,Jupiter,Planet,---,-2.52,0.72,---,---,---,---,---,0.0,True,25.36,81.85,21h29m,12h33m,12.52
41,Saturn,Saturn,Planet,---,0.69,0.73,---,---,---,---,---,0.0,True,36.66,203.82,17h10m,4h17m,4.25
42,Uranus,Uranus,Planet,---,5.68,0.24,---,---,---,---,---,0.0,True,42.62,103.24,20h00m,10h34m,10.53
43,Neptune,Neptune,Planet,---,7.69,0.1,---,---,---,---,---,0.0,True,45.58,189.17,17h38m,5h31m,5.48
