,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 246,NGC 246,Planetary Nebula,Cetus,8.0,3.8,0.0,47.0,-,11.0,53.0,,True,1.4,106.9,7h10m,17h48m,9.43
10,NGC 7009,NGC 7009,Planetary Nebula,Aquarius,8.0,1.7,21.0,4.2,-,11.0,22.0,,True,32.99,154.0,3h26m,14h08m,5.76
11,NGC 7023,NGC 7023,Cluster Nebulosity,Cepheus,7.0,18.0,21.0,0.5,+,68.0,10.0,,True,61.51,16.25,---,---,---
12,M17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,7.0,11.0,18.0,20.8,-,16.0,11.0,"5,000",True,29.28,200.78,1h02m,11h06m,2.73
13,M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19.0,59.6,+,22.0,43.0,"1,250",True,70.13,164.05,0h11m,15h14m,6.86
