,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 654,NGC 654,Open Cluster,Cassiopeia,6.5,5.0,1.0,44.1,+,61.0,53.0,,True,35.4,35.12,---,---,---
1,NGC 1444,NGC 1444,Open Cluster,Perseus,6.6,4.0,3.0,49.4,+,52.0,40.0,,True,16.62,31.82,---,---,---
2,NGC 1502,NGC 1502,Open Cluster,Camelopardalis,5.7,8.0,4.0,7.7,+,62.0,20.0,,True,22.45,23.21,---,---,---
25,NGC 6242,NGC 6242,Open Cluster,Scorpius,6.4,9.0,16.0,55.6,-,39.0,30.0,,True,1.1,209.75,1h46m,7h32m,1.34
27,NGC 6322,NGC 6322,Open Cluster,Scorpius,6.0,10.0,17.0,18.5,-,42.0,57.0,,True,0.1,204.36,2h44m,7h21m,1.16
29,NGC 6425,NGC 6425,Open Cluster,Scorpius,7.2,8.0,17.0,46.9,-,31.0,32.0,,True,12.33,203.5,1h41m,9h20m,3.14
30,NGC 6441,NGC 6441,Globular Cluster,Scorpius,7.4,7.8,17.0,50.2,-,37.0,3.0,,True,7.42,200.94,2h21m,8h47m,2.59
31,NGC 6716,NGC 6716,Open Cluster,Sagittarius,6.9,7.0,18.0,54.6,-,19.0,53.0,,True,27.37,190.96,1h51m,11h24m,5.21
32,NGC 6819,NGC 6819,Open Cluster,Cygnus,7.3,5.0,19.0,41.3,+,40.0,11.0,,True,87.97,153.5,21h56m,16h48m,10.61
33,NGC 6885,NGC 6885,Open Cluster,Vulpecula,6.0,7.0,20.0,12.0,+,26.0,29.0,,True,72.86,151.97,0h05m,15h44m,9.54
34,NGC 6910,NGC 6910,Open Cluster,Cygnus,7.4,8.0,20.0,23.1,+,40.0,47.0,,True,81.19,94.02,22h32m,17h36m,11.41
35,NGC 7063,NGC 7063,Open Cluster,Cygnus,7.0,8.0,21.0,24.4,+,36.0,30.0,,True,68.51,95.78,0h15m,17h59m,11.79
36,NGC 7160,NGC 7160,Open Cluster,Cepheus,6.1,7.0,21.0,53.7,+,62.0,36.0,,True,61.26,32.43,---,---,---
37,M18,NGC 6613  ,Open Cluster,Sagittarius,7.5,9.0,18.0,19.9,-,17.0,8.0,"4,900",True,28.33,200.7,1h05m,11h01m,4.82
38,M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19.0,59.6,+,22.0,43.0,"1,250",True,70.13,164.05,0h11m,15h14m,9.04
39,M29,NGC 6913  ,Open Cluster,Cygnus,7.1,7.0,20.0,23.9,+,38.0,32.0,"4,000",True,80.33,107.05,22h54m,17h15m,11.06
40,M80,NGC 6093  ,Globular Cluster,Scorpius,7.3,8.9,16.0,17.0,-,22.0,59.0,"27,400",True,10.43,225.53,23h24m,8h33m,2.36
41,M103,NGC 581,Open Cluster,Cassiopeia,7.4,6.0,1.0,33.2,+,60.0,42.0,"8,000",True,36.07,37.15,---,---,---
