,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,MNGC 129,NGC 129,Open Cluster,Cassiopeia,6.5,21.0,0,29.9,+,60,14.0,,True,43.38,40.72,---,---,---
1,MNGC 225,NGC 225,Open Cluster,Cassiopeia,7.0,12.0,0,43.4,+,61,47.0,,True,42.1,38.17,---,---,---
4,MNGC 457,NGC 457,Open Cluster,Cassiopeia,6.4,13.0,1,19.1,+,58,20.0,,True,36.77,40.7,---,---,---
5,MNGC 654,NGC 654,Open Cluster,Cassiopeia,6.5,5.0,1,44.1,+,61,53.0,,True,35.4,35.12,---,---,---
6,MNGC 663,NGC 663,Open Cluster,Cassiopeia,7.1,16.0,1,46.0,+,61,15.0,,True,34.9,35.71,---,---,---
7,MNGC 1027,NGC 1027,Open Cluster,Cassiopeia,6.7,20.0,2,42.7,+,61,33.0,,True,29.27,31.3,---,---,---
8,MNGC 1342,NGC 1342,Open Cluster,Perseus,6.7,14.0,3,31.6,+,37,20.0,,True,7.14,44.41,6h15m,0h16m,-5.05
9,MNGC 1444,NGC 1444,Open Cluster,Perseus,6.6,4.0,3,49.4,+,52,40.0,,True,16.62,31.82,---,---,---
10,MNGC 1502,NGC 1502,Open Cluster,Camelopardalis,5.7,8.0,4,7.7,+,62,20.0,,True,22.45,23.21,---,---,---
11,MNGC 1528,NGC 1528,Open Cluster,Perseus,6.4,24.0,4,15.4,+,51,14.0,,True,13.04,29.48,---,---,---
12,MNGC 1545,NGC 1545,Open Cluster,Perseus,6.2,18.0,4,20.9,+,50,15.0,,True,11.75,29.31,---,---,---
73,MNGC 6242,NGC 6242,Open Cluster,Scorpius,6.4,9.0,16,55.6,-,39,30.0,,True,1.1,209.75,1h46m,7h32m,2.21
75,MNGC 6322,NGC 6322,Open Cluster,Scorpius,6.0,10.0,17,18.5,-,42,57.0,,True,0.1,204.36,2h44m,7h21m,2.03
78,MNGC 6416,NGC 6416,Open Cluster,Scorpius,5.7,18.0,17,44.4,-,32,21.0,,True,11.36,203.74,1h44m,9h12m,3.88
79,MNGC 6425,NGC 6425,Open Cluster,Scorpius,7.2,8.0,17,46.9,-,31,32.0,,True,12.33,203.5,1h41m,9h20m,4.01
80,MNGC 6441,NGC 6441,Globular Cluster,Scorpius,7.4,7.8,17,50.2,-,37,3.0,,True,7.42,200.94,2h21m,8h47m,3.46
81,MNGC 6530,NGC 6530,Open Cluster,Sagittarius,4.6,15.0,18,4.8,-,24,20.0,,True,20.35,202.15,1h22m,10h14m,4.91
82,MNGC 6595,NGC 6595,Open Cluster,Sagittarius,7.0,11.0,18,17.0,-,19,53.0,,True,25.47,200.59,1h14m,10h47m,5.46
83,MNGC 6709,NGC 6709,Open Cluster,Aquila,6.7,13.0,18,51.5,+,10,21.0,,True,56.8,200.48,23h50m,13h14m,7.91
84,MNGC 6716,NGC 6716,Open Cluster,Sagittarius,6.9,7.0,18,54.6,-,19,53.0,,True,27.37,190.96,1h51m,11h24m,6.08
85,MNGC 6723,NGC 6723,Globular Cluster,Sagittarius,7.3,11.0,18,59.6,-,36,38.0,,True,10.99,187.39,3h27m,9h59m,4.66
87,MNGC 6755,NGC 6755,Open Cluster,Aquila,7.5,15.0,19,7.8,+,4,14.0,,True,51.73,191.46,0h33m,13h08m,7.81
88,MNGC 6811,NGC 6811,Open Cluster,Cygnus,6.8,13.0,19,38.2,+,46,34.0,,True,85.62,1.41,20h16m,18h20m,13.01
89,MNGC 6819,NGC 6819,Open Cluster,Cygnus,7.3,5.0,19,41.3,+,40,11.0,,True,87.97,153.5,21h56m,16h48m,11.48
90,MNGC 6823,NGC 6823,Open Cluster,Vulpecula,7.1,12.0,19,43.1,+,23,18.0,,True,71.24,175.14,23h48m,15h00m,9.68
