,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 246,NGC 246,Planetary Nebula,Cetus,8.0,3.8,0.0,47.0,-,11.0,53.0,,True,1.4,106.9,7h10m,17h48m,11.6
1,NGC 637,NGC 637,Open Cluster,Cassiopeia,8.2,4.0,1.0,42.9,+,64.0,0.0,,True,36.36,32.74,---,---,---
2,NGC 654,NGC 654,Open Cluster,Cassiopeia,6.5,5.0,1.0,44.1,+,61.0,53.0,,True,35.4,35.12,---,---,---
3,NGC 659,NGC 659,Open Cluster,Cassiopeia,7.9,5.0,1.0,44.2,+,60.0,42.0,,True,34.85,36.44,---,---,---
4,NGC 1245,NGC 1245,Open Cluster,Perseus,8.4,10.0,3.0,14.7,+,47.0,15.0,,True,16.43,39.89,3h10m,2h48m,-3.4
7,NGC 1444,NGC 1444,Open Cluster,Perseus,6.6,4.0,3.0,49.4,+,52.0,40.0,,True,16.62,31.82,---,---,---
8,NGC 1502,NGC 1502,Open Cluster,Camelopardalis,5.7,8.0,4.0,7.7,+,62.0,20.0,,True,22.45,23.21,---,---,---
9,NGC 1513,NGC 1513,Open Cluster,Perseus,8.4,9.0,4.0,10.0,+,49.0,31.0,,True,12.18,31.22,---,---,---
60,NGC 6242,NGC 6242,Open Cluster,Scorpius,6.4,9.0,16.0,55.6,-,39.0,30.0,,True,1.1,209.75,1h46m,7h32m,1.33
64,NGC 6293,NGC 6293,Globular Cluster,Ophiuchus,8.2,7.9,17.0,10.2,-,26.0,35.0,,True,13.6,213.09,0h38m,9h09m,2.95
65,NGC 6304,NGC 6304,Globular Cluster,Ophiuchus,8.4,6.8,17.0,14.5,-,29.0,28.0,,True,11.47,210.89,0h58m,8h59m,2.79
66,NGC 6322,NGC 6322,Open Cluster,Scorpius,6.0,10.0,17.0,18.5,-,42.0,57.0,,True,0.1,204.36,2h44m,7h21m,1.15
68,NGC 6356,NGC 6356,Globular Cluster,Ophiuchus,8.4,7.2,17.0,23.6,-,17.0,49.0,,True,22.8,214.31,0h12m,10h02m,3.83
71,NGC 6396,NGC 6396,Open Cluster,Scorpius,8.5,3.0,17.0,38.1,-,35.0,0.0,,True,8.4,204.07,1h54m,8h48m,2.6
72,NGC 6425,NGC 6425,Open Cluster,Scorpius,7.2,8.0,17.0,46.9,-,31.0,32.0,,True,12.33,203.5,1h41m,9h20m,3.13
73,NGC 6441,NGC 6441,Globular Cluster,Scorpius,7.4,7.8,17.0,50.2,-,37.0,3.0,,True,7.42,200.94,2h21m,8h47m,2.58
74,NGC 6451,NGC 6451,Open Cluster,Scorpius,8.0,8.0,17.0,50.7,-,30.0,13.0,,True,13.84,203.2,1h38m,9h31m,3.32
