,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 129,NGC 129,Open Cluster,Cassiopeia,6.5,21.0,0.0,29.9,+,60.0,14.0,,True,14.19,348.51,---,---,---
1,NGC 225,NGC 225,Open Cluster,Cassiopeia,7.0,12.0,0.0,43.4,+,61.0,47.0,,True,16.19,347.41,---,---,---
4,NGC 457,NGC 457,Open Cluster,Cassiopeia,6.4,13.0,1.0,19.1,+,58.0,20.0,,True,14.76,341.71,---,---,---
5,NGC 654,NGC 654,Open Cluster,Cassiopeia,6.5,5.0,1.0,44.1,+,61.0,53.0,,True,19.36,340.74,---,---,---
6,NGC 663,NGC 663,Open Cluster,Cassiopeia,7.1,16.0,1.0,46.0,+,61.0,15.0,,True,18.94,340.15,---,---,---
7,NGC 1027,NGC 1027,Open Cluster,Cassiopeia,6.7,20.0,2.0,42.7,+,61.0,33.0,,True,23.3,334.61,---,---,---
8,NGC 1342,NGC 1342,Open Cluster,Perseus,6.7,14.0,3.0,31.6,+,37.0,20.0,,True,11.09,311.23,6h15m,0h16m,1.62
9,NGC 1444,NGC 1444,Open Cluster,Perseus,6.6,4.0,3.0,49.4,+,52.0,40.0,,True,23.69,320.78,---,---,---
10,NGC 1502,NGC 1502,Open Cluster,Camelopardalis,5.7,8.0,4.0,7.7,+,62.0,20.0,,True,31.36,328.01,---,---,---
11,NGC 1528,NGC 1528,Open Cluster,Perseus,6.4,24.0,4.0,15.4,+,51.0,14.0,,True,25.99,316.85,---,---,---
12,NGC 1545,NGC 1545,Open Cluster,Perseus,6.2,18.0,4.0,20.9,+,50.0,15.0,,True,26.14,315.41,---,---,---
13,NGC 1662,NGC 1662,Open Cluster,Orion,6.4,20.0,4.0,48.5,+,10.0,56.0,,True,5.71,279.78,9h48m,23h12m,0.56
14,NGC 1807,NGC 1807,Open Cluster,Taurus,7.0,17.0,5.0,10.7,+,16.0,32.0,,True,13.4,280.4,9h48m,23h57m,1.31
16,NGC 1857,NGC 1857,Open Cluster,Auriga,7.0,6.0,5.0,20.2,+,39.0,21.0,,True,28.74,298.61,7h47m,2h21m,3.71
17,NGC 1893,NGC 1893,Open Cluster,Auriga,7.5,11.0,5.0,22.7,+,33.0,24.0,,True,25.9,292.78,8h35m,1h38m,2.99
18,NGC 1981,NGC 1981,Open Cluster,Orion,4.6,25.0,5.0,35.2,-,4.0,26.0,,True,4.04,260.52,11h30m,23h03m,0.41
19,NGC 2129,NGC 2129,Open Cluster,Gemini,6.7,7.0,6.0,1.0,+,23.0,18.0,,True,26.83,278.15,10h09m,1h20m,2.69
20,NGC 2169,NGC 2169,Open Cluster,Orion,5.9,7.0,6.0,8.4,+,13.0,57.0,,True,22.35,268.95,10h56m,0h48m,2.16
21,NGC 2175,NGC 2175,Open Cluster,Orion,6.8,18.0,6.0,9.8,+,20.0,19.0,,True,26.68,274.28,10h30m,1h16m,2.62
22,NGC 2244,NGC 2244,Open Cluster,Monoceros,4.8,24.0,6.0,32.4,+,4.0,52.0,,True,20.64,257.55,11h53m,0h37m,1.97
23,NGC 2251,NGC 2251,Open Cluster,Monoceros,7.3,10.0,6.0,34.7,+,8.0,22.0,,True,23.47,259.75,11h43m,0h52m,2.22
24,NGC 2281,NGC 2281,Open Cluster,Auriga,5.4,15.0,6.0,49.3,+,41.0,4.0,,True,44.42,290.76,8h58m,4h06m,5.46
25,NGC 2286,NGC 2286,Open Cluster,Monoceros,7.5,15.0,6.0,47.6,-,3.0,10.0,,True,17.72,248.53,12h38m,0h23m,1.74
26,NGC 2301,NGC 2301,Open Cluster,Monoceros,6.0,12.0,6.0,51.8,+,0.0,28.0,,True,21.03,250.41,12h29m,0h40m,2.02
27,NGC 2335,NGC 2335,Open Cluster,Monoceros,7.2,12.0,7.0,6.6,-,10.0,5.0,,True,15.83,240.03,13h22m,0h17m,1.64
28,NGC 2343,NGC 2343,Open Cluster,Monoceros,6.7,7.0,7.0,8.3,-,10.0,39.0,,True,15.59,239.39,13h26m,0h16m,1.62
29,NGC 2353,NGC 2353,Open Cluster,Monoceros,7.1,20.0,7.0,14.6,-,10.0,18.0,,True,16.86,238.37,13h31m,0h24m,1.76
30,NGC 2396,NGC 2396,Open Cluster,Puppis,7.0,10.0,7.0,28.1,-,11.0,44.0,,True,17.82,234.72,13h50m,0h32m,1.89
31,NGC 2423,NGC 2423,Open Cluster,Puppis,6.7,19.0,7.0,37.1,-,13.0,52.0,,True,17.46,231.49,14h07m,0h33m,1.91
32,NGC 2439,NGC 2439,Open Cluster,Puppis,6.9,10.0,7.0,40.8,-,31.0,39.0,,True,3.54,220.31,15h34m,23h09m,0.51
33,NGC 2467,NGC 2467,Cluster Nebulosity,Puppis,7.0,16.0,7.0,52.6,-,26.0,23.0,,True,9.21,221.13,15h17m,23h49m,1.17
34,NGC 2482,NGC 2482,Open Cluster,Puppis,7.3,12.0,7.0,54.9,-,24.0,18.0,,True,11.37,221.77,15h09m,0h07m,1.47
35,NGC 2527,NGC 2527,Open Cluster,Puppis,6.5,22.0,8.0,5.3,-,28.0,10.0,,True,9.24,217.79,15h38m,23h53m,1.24
36,NGC 2539,NGC 2539,Open Cluster,Puppis,6.5,22.0,8.0,10.7,-,12.0,50.0,,True,22.94,224.98,14h37m,1h10m,2.52
38,NGC 2567,NGC 2567,Open Cluster,Puppis,7.4,10.0,8.0,18.6,-,30.0,38.0,,True,8.55,213.94,16h05m,23h53m,1.24
39,NGC 2571,NGC 2571,Open Cluster,Puppis,7.0,13.0,8.0,18.9,-,29.0,44.0,,True,9.37,214.3,16h01m,23h58m,1.32
40,NGC 2579,NGC 2579,Cluster Nebulosity,Puppis,7.5,10.0,8.0,21.1,-,36.0,11.0,,True,3.97,210.83,16h43m,23h20m,0.69
44,NGC 3201,NGC 3201,Globular Cluster,Vela,6.8,18.0,10.0,17.6,-,46.0,25.0,,True,1.3,186.99,20h34m,23h22m,0.72
88,NGC 6811,NGC 6811,Open Cluster,Cygnus,6.8,13.0,19.0,38.2,+,46.0,34.0,,True,9.24,32.51,20h16m,18h20m,19.69
89,NGC 6819,NGC 6819,Open Cluster,Cygnus,7.3,5.0,19.0,41.3,+,40.0,11.0,,True,3.83,35.46,21h56m,16h48m,18.16
93,NGC 6910,NGC 6910,Open Cluster,Cygnus,7.4,8.0,20.0,23.1,+,40.0,47.0,,True,0.51,28.33,22h32m,17h36m,18.96
94,NGC 7023,NGC 7023,Cluster Nebulosity,Cepheus,7.0,18.0,21.0,0.5,+,68.0,10.0,,True,22.53,11.35,---,---,---
96,NGC 7082,NGC 7082,Open Cluster,Cygnus,7.2,25.0,21.0,29.4,+,47.0,5.0,,True,1.77,14.95,21h33m,20h46m,22.12
97,NGC 7160,NGC 7160,Open Cluster,Cepheus,6.1,7.0,21.0,53.7,+,62.0,36.0,,True,15.64,7.66,---,---,---
98,NGC 7209,NGC 7209,Open Cluster,Lacerta,6.7,25.0,22.0,5.2,+,46.0,30.0,,True,0.01,9.12,22h38m,20h52m,22.22
99,NGC 7243,NGC 7243,Open Cluster,Lacerta,6.4,21.0,22.0,15.3,+,49.0,53.0,,True,2.81,6.95,---,---,---
100,NGC 7380,NGC 7380,Cluster Nebulosity,Cepheus,7.2,25.0,22.0,47.0,+,58.0,6.0,,True,10.43,1.49,---,---,---
101,NGC 7686,NGC 7686,Open Cluster,Andromeda,5.6,15.0,23.0,30.2,+,49.0,8.0,,True,1.92,354.89,---,---,---
102,NGC 7789,NGC 7789,Open Cluster,Cassiopeia,6.7,16.0,23.0,57.0,+,56.0,44.0,,True,9.77,351.85,---,---,---
104,M3,NGC 5272  ,Globular Cluster,Canes Venatici,6.2,16.2,13.0,42.2,+,28.0,23.0,"33,900",True,54.19,99.24,17h23m,9h25m,10.77
107,M13,NGC 6205 Hercules Globular Cluster,Globular Cluster,Hercules,5.8,16.6,16.0,41.7,+,36.0,28.0,"22,800",True,26.23,63.45,19h30m,13h15m,14.61
117,M36,NGC 1960  ,Open Cluster,Auriga,6.3,12.0,5.0,36.1,+,34.0,8.0,"4,100",True,28.64,291.67,8h44m,1h56m,3.29
118,M37,NGC 2099  ,Open Cluster,Auriga,6.2,24.0,5.0,52.4,+,32.0,33.0,"4,400",True,30.55,288.03,9h10m,2h02m,3.39
119,M38,NGC 1912  ,Open Cluster,Auriga,7.4,21.0,5.0,28.7,+,35.0,50.0,"4,200",True,28.29,294.27,8h24m,2h01m,3.37
120,M52,NGC 7654  ,Open Cluster,Cassiopeia,7.3,13.0,23.0,24.2,+,61.0,35.0,"5,000",True,13.98,356.78,---,---,---
123,M81,NGC 3031 Bode¹s Galaxy,Spiral Galaxy,Ursa Major,6.9,21.0,9.0,55.6,+,69.0,4.0,"12,000,000",True,61.92,348.27,---,---,---
124,M92,NGC 6341  ,Globular Cluster,Hercules,6.4,11.2,17.0,17.1,+,43.0,8.0,"26,400",True,24.5,53.08,18h59m,14h57m,16.31
125,M93,NGC 2447  ,Open Cluster,Puppis,6.0,22.0,7.0,44.6,-,23.0,52.0,"3,600",True,10.36,224.07,14h57m,23h54m,1.26
126,M103,NGC 581,Open Cluster,Cassiopeia,7.4,6.0,1.0,33.2,+,60.0,42.0,"8,000",True,17.66,341.24,---,---,---
