,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
9,NGC 6231,NGC 6231,Cluster Nebulosity,Scorpius,2.6,15.0,16,54.0,-,41,48,,True,2.03,202.18,1h43m,6h45m,-0.5
10,NGC 7009,NGC 7009,Planetary Nebula,Aquarius,8.0,1.7,21,4.2,-,11,22,,True,29.05,143.48,3h02m,13h43m,6.47
11,NGC 7023,NGC 7023,Cluster Nebulosity,Cepheus,7.0,18.0,21,0.5,+,68,10,,True,59.06,22.09,---,---,---
12,M17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,7.0,11.0,18,20.8,-,16,11.0,"5,000",True,31.23,189.87,0h38m,10h42m,3.45
13,M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19,59.6,+,22,43.0,"1,250",True,66.56,140.57,23h43m,14h50m,7.58
16,Mercury,Mercury,Planet,---,6.41,0.19,---,---,---,---,---,0.0,True,9.6,90.61,5h21m,18h05m,10.83
17,Venus,Venus,Planet,---,-3.9,0.16,---,---,---,---,---,0.0,True,5.33,91.11,5h44m,18h10m,10.92
18,Mars,Mars,Planet,---,0.98,0.1,---,---,---,---,---,0.0,True,24.01,153.44,3h09m,12h46m,5.52
21,Uranus,Uranus,Planet,---,6.01,0.21,---,---,---,---,---,0.0,True,17.52,120.37,4h31m,15h29m,8.23
22,Neptune,Neptune,Planet,---,7.84,0.09,---,---,---,---,---,0.0,True,23.57,142.62,3h33m,13h39m,6.4
23,Moon,Moon,Moon,---,-11.3,31.95,---,---,---,---,---,0.0,True,12.67,216.34,---,7h59m,0.73
