,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
0,NGC 55,NGC 55,Galaxy,Sculptor,8.0,32.0,0,14.9,-,39,11,,True,4.67,157.27,21h01m,2h58m,4.98
1,NGC 246,NGC 246,Planetary Nebula,Cetus,8.0,3.8,0,47.0,-,11,53,,True,26.03,138.14,19h11m,5h53m,7.9
2,NGC 247,NGC 247,Galaxy,Cetus,8.9,20.0,0,47.1,-,20,46,,True,18.3,142.85,19h46m,5h17m,7.3
3,NGC 253,NGC 253,Galaxy,Sculptor,7.1,25.0,0,47.6,-,25,17,,True,14.28,145.01,20h07m,4h57m,6.97
4,NGC 281,NGC 281,Cluster Nebulosity,Cassiopeia,7.0,35.0,0,52.8,+,56,37,,True,61.17,45.95,---,---,---
5,NGC 300,NGC 300,Galaxy,Sculptor,9.0,20.0,0,54.9,-,37,41,,True,2.8,149.53,21h28m,3h50m,5.85
10,NGC 2403,NGC 2403,Galaxy,Camelopardalis,8.4,17.0,7,36.9,+,65,36,,True,21.92,16.49,---,---,---
24,NGC 6210,NGC 6210,Planetary Nebula,Hercules,9.0,0.2,16,44.5,+,23,49,,True,20.75,283.83,8h52m,0h08m,2.15
26,NGC 6543,NGC 6543,Planetary Nebula,Draco,9.0,5.8,17,58.6,+,66,38,,True,47.83,327.74,---,---,---
27,NGC 6572,NGC 6572,Planetary Nebula,Ophiuchus,9.0,0.1,18,12.1,+,6,51,,True,25.98,254.92,11h29m,0h27m,2.47
29,NGC 6822,NGC 6822,Galaxy,Sagittarius,9.0,10.0,19,44.9,-,14,48,,True,23.46,220.16,14h21m,0h40m,2.68
30,NGC 6946,NGC 6946,Galaxy,Cepheus,8.9,11.0,20,34.8,+,60,9,,True,66.11,328.22,---,---,---
31,NGC 7009,NGC 7009,Planetary Nebula,Aquarius,8.0,1.7,21,4.2,-,11,22,,True,34.21,201.4,15h27m,2h12m,4.22
32,NGC 7023,NGC 7023,Cluster Nebulosity,Cepheus,7.0,18.0,21,0.5,+,68,10,,True,61.96,345.28,---,---,---
33,NGC 7380,NGC 7380,Cluster Nebulosity,Cepheus,7.2,25.0,22,47.0,+,58,6,,True,73.08,14.15,---,---,---
34,NGC 7662,NGC 7662,Planetary Nebula,Andromeda,9.0,2.2,23,25.9,+,42,33,,True,77.11,81.39,13h17m,9h04m,11.08
35,M1,NGC 1952 Crab Nebula,Supernova Remnant,Taurus,8.4,6.0,5,34.5,+,22,1.0,"6,300",True,1.45,60.8,21h49m,12h49m,14.83
36,M16,NGC 6611 Eagle Nebula Cluster,Diffuse Nebula,Serpens Claudia,6.4,7.0,18,18.8,-,13,47.0,"7,000",True,12.13,238.59,12h51m,23h14m,1.25
37,M17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,7.0,11.0,18,20.8,-,16,11.0,"5,000",True,10.65,236.65,13h03m,23h06m,1.12
38,M20,NGC 6514 Trifid Nebula,Diffuse Nebula,Sagittarius,9.0,28.0,18,2.3,-,23,2.0,"5,200",True,2.88,235.4,13h14m,22h20m,0.35
39,M27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,7.4,8.0,19,59.6,+,22,43.0,"1,250",True,55.7,246.63,12h11m,3h18m,5.32
40,M32,NGC 221 Satellite of M31,Elliptical Galaxy,Andromeda,8.1,8.0,0,42.7,+,40,52.0,"2,900,000",True,62.72,79.72,14h54m,10h01m,12.03
41,M40,Winecke 4,Double Star,Ursa Major,9.0,0.82,12,22.2,+,58,5.0,510,True,13.48,343.42,---,---,---
44,M51,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,Canes Venatici,8.4,11.0,13,29.9,+,47,12.0,"37,000,000",True,9.01,328.96,1h49m,0h43m,2.73
45,M57,NGC 6720 Ring Nebula,Planetary Nebula,Lyra,8.8,1.4,18,53.6,+,33,2.0,"4,100",True,49.45,274.35,10h10m,3h08m,5.15
47,M63,NGC 5055 Sunflower Galaxy,Spiral Galaxy,Canes Venatici,8.6,10.0,13,15.8,+,42,2.0,"37,000,000",True,3.43,328.24,3h18m,22h42m,0.72
50,M73,NGC 6994  Group of 4 stars,Group/Asterism,Aquarius,9.0,2.8,20,59.0,-,12,38.0,"2,000",True,32.64,202.42,15h26m,2h02m,4.05
51,M77,NGC 1068 Cetus A,Spiral Galaxy,Cetus,8.9,7.0,2,42.7,+,0,1.0,"60,000,000",True,17.21,106.04,20h23m,8h31m,10.53
53,M81,NGC 3031 Bode¹s Galaxy,Spiral Galaxy,Ursa Major,6.9,21.0,9,55.6,+,69,4.0,"12,000,000",True,21.11,1.89,---,---,---
54,M82,NGC 3034 Cigar Galaxy,Irregular Galaxy,Ursa Major,8.4,9.0,9,55.8,+,69,41.0,"12,000,000",True,21.72,1.82,---,---,---
58,M94,NGC 4736,Spiral Galaxy,Canes Venatici,8.2,7.0,12,50.9,+,41,7.0,"14,500,000",True,0.57,331.84,3h04m,22h07m,0.13
59,M101,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,Ursa Major,7.9,22.0,14,3.2,+,54,21.0,"27,000,000",True,17.83,329.13,---,---,---
61,M106,NGC 4258,Spiral Galaxy,Canes Venatici,8.4,19.0,12,19.0,+,47,18.0,"25,000,000",True,3.5,339.64,0h33m,23h34m,1.58
62,M110,NGC 205 Satellite of M31,Elliptical Galaxy,Andromeda,8.5,17.0,0,40.4,+,41,41.0,"2,900,000",True,63.34,78.19,14h42m,10h08m,12.15
66,Jupiter,Jupiter,Planet,---,-2.52,0.72,---,---,---,---,---,0.0,True,3.81,62.73,21h33m,12h37m,14.63
67,Saturn,Saturn,Planet,---,0.69,0.73,---,---,---,---,---,0.0,True,38.49,165.13,17h14m,4h22m,6.38
68,Uranus,Uranus,Planet,---,5.68,0.24,---,---,---,---,---,0.0,True,19.9,81.7,20h04m,10h38m,12.65
69,Neptune,Neptune,Planet,---,7.69,0.1,---,---,---,---,---,0.0,True,40.73,146.96,17h42m,5h35m,7.6
