|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |
|HR 4234|Del2Cha   |10 45 46.80|-80 32 25.1| 4.45|        |                                          STAR B2IV|
|HR 4231|Del1Cha   |10 45 15.70|-80 28 10.9| 5.47|W       |                                         STAR K0III|
|HR 2022|Pi  Men   |05 37 09.79|-80 28 09.1| 5.65|        |                                           STAR G1V|
|HR 8481|Eps Oct   |22 20 01.51|-80 26 22.9| 5.10|        |                                         STAR M5III|
|HR 6837|          |18 29 19.49|-80 13 58.1| 5.95|        |                                         STAR K2III|
|HR 1426|Del Men   |04 17 59.09|-80 12 50.0| 5.69|        |                                         STAR K2III|
|HR 550 |Tau2Hyi   |01 47 46.51|-80 10 36.1| 6.06|W       |                                          STAR F0IV|
|HR 8663|Xi  Oct   |22 50 22.90|-80 07 27.1| 5.35|        |                                          STAR B6IV|
|HR 5336|Eps Aps   |14 22 22.70|-80 06 32.0| 5.06|        |                                           STAR B4V|
|HR 8201|          |21 33 20.59|-80 02 21.1| 6.47|W       |                                           STAR A0V|
|HR 4206|          |10 41 51.29|-79 46 59.9| 5.97|        |                                          STAR B4IV|
|HR 4385|          |11 18 34.30|-79 40 07.0| 6.35|        |                                         STAR A8III|
|HR 4268|          |10 52 27.50|-79 33 33.8| 6.33|        |                                          STAR K2II|
|HR 3543|          |08 45 55.20|-79 30 15.8| 5.79|        |                                         STAR K5III|
|HR 8786|          |23 08 23.71|-79 28 50.9| 6.12|        |                                           STAR A3V|
|HR 8849|          |23 19 08.11|-79 28 22.1| 6.33|        |                                         STAR K0III|
|HR 8234|          |21 38 56.21|-79 26 33.0| 6.18|        |                                          STAR F4IV|
|HR 2689|The Men   |06 56 34.39|-79 25 13.1| 5.45|        |                                           STAR B9V|
|HR 2125|Kap Men   |05 50 16.70|-79 21 41.0| 5.47|        |                                           STAR B9V|
|HR 4674|Bet Cha   |12 18 20.69|-79 18 43.9| 4.26|        |                                           STAR B5V|
|HR 4509|          |11 42 55.39|-79 18 23.0| 6.39|        |                                         STAR K0III|
|HR 516 |Tau1Hyi   |01 41 21.31|-79 08 53.9| 6.33|W       |                                         STAR G6III|
|HR 776 |Mu  Hyi   |02 31 40.51|-79 06 33.8| 5.28|        |                                         STAR G8III|
|HR 2919|Eps Men   |07 25 37.99|-79 05 39.1| 5.53|        |                                         STAR K2III|
|HR 3524|          |08 43 12.41|-79 04 10.9| 6.05|        |                                           STAR A5V|
|HR 5470|Alp Aps   |14 47 51.60|-79 02 40.9| 3.83|        |                                         STAR K3III|
|HR 981 |          |03 07 31.99|-78 59 21.8| 5.57|W       |                                          STAR F2II|
|HR 3502|Eta Cha   |08 41 19.51|-78 57 47.9| 5.47|        |                                           STAR B8V|
|HR 6102|Gam Aps   |16 33 27.00|-78 53 49.9| 3.89|        |                                         STAR G8III|
|HR 1991|Iot Men   |05 35 36.31|-78 49 14.9| 6.05|        |                                         STAR B8III|
|HR 8995|          |23 44 40.70|-78 47 29.0| 5.75|        |                                         STAR K1III|
|HR 64  |          |00 16 49.01|-78 46 50.2| 6.77|        |                                         STAR F3III|
|HR 8577|          |22 35 26.40|-78 46 18.1| 6.15|        |                                         STAR K1III|
|HR 6020|Del1Aps   |16 20 20.81|-78 41 44.9| 4.68|W       |                                         STAR M5III|
|HR 6021|Del2Aps   |16 20 26.81|-78 40 01.9| 5.27|W       |                                         STAR K3III|
|HR 4174|Gam Cha   |10 35 28.10|-78 36 28.1| 4.11|        |                                         STAR M0III|
|HR 5240|          |14 00 32.81|-78 35 24.0| 6.09|        |                                         STAR B9III|
|HR 4649|          |12 13 55.70|-78 34 25.0| 6.35|        |                                         STAR K2III|
|HR 467 |          |01 33 39.19|-78 30 16.9| 6.11|W       |                                         STAR K0III|
|HR 4976|          |13 14 17.21|-78 26 49.9| 5.85|        |                                           STAR F8I|
|HR 1109|          |03 29 58.80|-78 21 06.8| 5.70|        |                                         STAR G8III|
|HR 593 |Sig Hyi   |01 55 50.50|-78 20 53.9| 6.16|        |                                          STAR F5IV|
|HR 1154|          |03 36 30.00|-78 19 23.2| 6.29|        |                                         STAR K2III|
|HR 1682|          |05 00 13.20|-78 18 01.1| 6.29|W       |                                         STAR K5III|
|HR 4583|Eps Cha   |11 59 37.30|-78 13 18.8| 4.91|W       |                                           STAR B9V|
|HR 5757|          |15 39 18.29|-77 55 05.2| 6.18|        |                                         STAR K2III|
|HR 6994|          |18 47 49.39|-77 52 01.9| 6.39|        |                                           STAR F8V|
|HR 5306|          |14 16 54.89|-77 39 50.0| 6.47|        |                                          STAR K2II|
|HR 8370|          |22 01 52.10|-77 39 45.0| 6.41|        |                                          STAR A5IV|
|HR 1531|          |04 38 21.70|-77 39 22.0| 6.05|        |                                         STAR K2III|
|HR 3000|          |07 36 04.20|-77 38 03.1| 6.18|        |                                         STAR M0III|
|HR 4397|          |11 21 57.10|-77 36 29.9| 6.43|        |                                         STAR A5III|
|HR 5082|          |13 33 14.81|-77 34 05.9| 6.48|W       |                                           STAR F6V|
|HR 6163|Bet Aps   |16 43 04.61|-77 31 03.0| 4.24|W       |                                         STAR K0III|
|HR 8471|Psi Oct   |22 17 50.50|-77 30 42.1| 5.51|        |                                         STAR F3III|
|HR 3340|The Cha   |08 20 38.50|-77 29 03.8| 4.35|W       |                                         STAR K2III|
|HR 87  |          |00 21 28.61|-77 25 36.8| 5.97|        |                                         STAR K3III|
|HR 8254|Nu  Oct   |21 41 28.49|-77 23 24.0| 3.76|A       |                                         STAR K0III|
|HR 1025|Iot Hyi   |03 15 57.60|-77 23 17.9| 5.52|        |                                         STAR F4III|
|HR 8935|          |23 33 19.49|-77 23 07.1| 5.81|        |                                           STAR G2V|
|HR 98  |Bet Hyi   |00 25 45.10|-77 15 15.1| 2.80|        |                                          STAR G2IV|
|HR 5547|          |15 00 11.81|-77 09 37.1| 5.93|        |                                          STAR G8II|
|HR 9084|The Oct   |00 01 35.71|-77 03 56.9| 4.78|        |                                         STAR K3III|
|HR 8664|          |22 49 40.90|-77 03 02.2| 6.73|        |                                           STAR A4V|
|HR 8021|Alp Oct   |21 04 43.01|-77 01 26.0| 5.15|        |                                         STAR A7III|
|HR 3318|Alp Cha   |08 18 31.61|-76 55 10.9| 4.07|        |                                         STAR F5III|
|HR 8957|          |23 38 24.10|-76 52 12.0| 6.00|        |                                         STAR K0III|
|HR 5261|The Aps   |14 05 19.80|-76 47 48.1| 5.50|        |                                         STAR M6III|
|HR 3902|Nu  Cha   |09 46 20.59|-76 46 34.0| 5.45|        |                                         STAR G8III|
|HR 5389|          |14 29 36.79|-76 43 45.1| 6.07|        |                                         STAR K0III|
|HR 3695|          |09 12 12.31|-76 39 47.2| 6.14|        |                                         STAR K1III|
|HR 5540|          |14 57 52.90|-76 39 46.1| 5.34|        |                                         STAR K4III|
|HR 4605|Kap Cha   |12 04 46.51|-76 31 09.1| 5.04|        |                                         STAR K4III|
|HR 1953|Gam Men   |05 31 52.90|-76 20 28.0| 5.19|W       |                                         STAR K2III|
|HR 4170|          |10 35 24.79|-76 18 33.1| 6.30|        |                                         STAR K2III|
|HR 8052|          |21 08 47.90|-76 12 45.0| 6.58|        |                                         STAR K1III|
|HR 7863|Mu 1Oct   |20 42 02.90|-76 10 50.2| 6.00|        |                                         STAR F4III|
|HR 6635|          |17 57 41.81|-76 10 39.0| 6.07|W       |                                         STAR K2III|
|HR 8380|          |22 03 03.79|-76 07 07.0| 5.95|W       |                                         STAR F3III|
|HR 8432|          |22 11 55.30|-76 06 58.0| 6.15|        |                                         STAR K0III|
|HR 5786|          |15 41 54.60|-76 04 54.8| 5.95|        |                                           STAR B9V|
|HR 58  |          |00 15 55.20|-75 54 41.0| 6.49|        |                                         STAR G8III|
|HR 4479|Pi  Cha   |11 37 15.60|-75 53 48.1| 5.65|        |                                         STAR F1III|
|HR 6731|          |18 11 15.70|-75 53 29.0| 5.86|W       |                                         STAR K2III|
|HR 8420|          |22 10 42.50|-75 52 50.2| 6.55|        |                                         STAR K2III|
|HR 5115|          |13 39 11.90|-75 41 02.0| 6.34|        |                                          STAR B8IV|
|HR 4804|          |12 39 14.50|-75 22 09.8| 6.49|W       |                                           STAR B8V|
|HR 4617|          |12 07 49.80|-75 22 00.8| 5.18|        |                                          STAR K2II|
|HR 7864|Mu 2Oct   |20 41 43.70|-75 21 02.2| 6.55|W       |                                         STAR G5III|
|HR 8111|          |21 18 16.10|-75 20 48.1| 6.63|        |                                           STAR A1V|
|HR 4387|          |11 19 36.29|-75 08 33.0| 6.27|        |                                           STAR B9V|
|HR 4279|          |10 57 15.70|-75 05 58.9| 6.13|        |                                          STAR K1II|
|HR 872 |Nu  Hyi   |02 50 28.51|-75 04 00.8| 4.75|        |                                         STAR K3III|
|HR 6829|Phi Oct   |18 23 36.10|-75 02 39.1| 5.47|        |                                           STAR A0V|
|HR 5555|          |14 59 55.99|-75 01 57.0| 6.20|W       |                                           STAR B9V|
|HR 8526|          |22 25 51.00|-75 00 56.2| 6.04|W       |                                           STAR G3V|
|HR 1629|Eta Men   |04 55 11.21|-74 56 12.8| 5.47|        |                                         STAR K4III|
|HR 236 |Lam Hyi   |00 48 35.40|-74 55 23.9| 5.07|        |                                         STAR K5III|
|HR 3720|          |09 17 25.39|-74 53 39.8| 5.29|W       |                                           STAR A1V|
|HR 5042|Iot1Mus   |13 25 07.10|-74 53 16.1| 5.05|        |                                         STAR K0III|
|HR 5279|          |14 08 27.10|-74 51 01.1| 6.02|        |                                          STAR G2IV|
|HR 2261|Alp Men   |06 10 14.40|-74 45 11.2| 5.09|        |                                           STAR G6V|
|HR 3721|          |09 17 27.41|-74 44 04.9| 5.86|        |                                           STAR A0V|
|HR 5051|Iot2Mus   |13 27 18.29|-74 41 30.8| 6.63|        |                                           STAR B9V|
|HR 6373|          |17 16 35.59|-74 31 59.2| 6.25|        |                                           STAR A0V|
|HR 4186|          |10 39 16.61|-74 29 37.0| 6.07|        |                                          STAR K3II|
|HR 2979|          |07 35 21.70|-74 16 32.2| 7.16|W       |                                          STAR B9IV|
|HR 2980|          |07 35 21.79|-74 16 32.2| 7.26|W       |                                          STAR B9IV|
|HR 1208|Gam Hyi   |03 47 14.30|-74 14 20.0| 3.24|        |                                         STAR M2III|
|HR 4601|          |12 03 44.30|-74 12 50.0| 6.44|        |                                         STAR G6III|
|HR 4102|          |10 24 23.71|-74 01 54.1| 4.00|        |                                          STAR F2IV|
|HR 4105|          |10 24 44.30|-73 58 18.1| 6.19|        |                                           STAR A2V|
|HR 6899|          |18 32 55.30|-73 57 56.2| 5.89|        |                                         STAR K0III|
|HR 1964|          |05 34 44.69|-73 44 29.0| 5.78|        |                                         STAR M3III|
|HR 6751|          |18 12 34.49|-73 40 18.1| 5.85|W       |                                           STAR F5V|
|HR 715 |Kap Hyi   |02 22 52.30|-73 38 44.9| 5.01|        |                                         STAR K1III|
|HR 8794|          |23 08 35.69|-73 35 11.0| 6.15|        |                                         STAR K3III|
|HR 5782|Kap2Aps   |15 40 21.19|-73 26 48.1| 5.65|W       |                                         STAR B7III|
|HR 3334|Eta Vol   |08 22 04.39|-73 24 00.0| 5.29|W       |                                          STAR A0IV|
|HR 5730|Kap1Aps   |15 31 30.79|-73 23 21.8| 5.49|W       |                                          STAR B3IV|
|HR 3417|          |08 32 42.19|-73 21 24.1| 6.12|        |                                         STAR G8III|
|HR 3171|          |07 59 16.10|-73 14 40.9| 6.34|        |                                         STAR A3III|
|HR 32  |          |00 10 38.59|-73 13 27.8| 6.64|W       |                                           STAR F2V|
|HR 4142|          |10 31 01.99|-73 13 18.1| 4.93|W       |                                         STAR K4III|
|HR 5520|          |14 53 13.70|-73 11 24.0| 5.60|W       |                                         STAR G7III|
|HR 8061|          |21 09 22.30|-73 10 23.2| 5.68|W       |                                           STAR F8V|
|HR 169 |          |00 38 40.80|-73 08 13.9| 6.85|        |                                            STAR A1|
|HR 2531|          |06 43 36.79|-73 07 05.2| 6.37|        |                                         STAR G8III|
|HR 3821|          |09 31 36.29|-73 04 50.9| 5.47|        |                                         STAR K4III|
|HR 1700|          |05 06 09.29|-73 02 16.1| 6.27|        |                                           STAR A1V|
|HR 4769|          |12 32 10.01|-73 00 06.1| 5.88|        |                                         STAR K1III|
|HR 7027|          |18 49 43.49|-72 59 40.9| 6.06|W       |                                          STAR B9IV|
|HR 7590|Eps Pav   |20 00 35.50|-72 54 38.2| 3.96|        |                                           STAR A0V|
|HR 9106|          |00 04 30.70|-72 53 52.1| 7.31|        |                                           STAR F2V|
|HR 5628|          |15 12 33.79|-72 46 13.1| 6.01|        |                                         STAR B8III|
|HR 2062|Lam Men   |05 47 48.10|-72 42 07.9| 6.53|        |                                         STAR K0III|
|HR 4664|          |12 16 23.50|-72 36 52.9| 6.22|        |                                           STAR A0V|
|HR 3024|Zet Vol   |07 41 49.20|-72 36 22.0| 3.95|W       |                                         STAR K0III|
|HR 3643|          |09 05 08.81|-72 36 10.1| 4.48|        |                                          STAR F9II|
|HR 3544|          |08 49 50.30|-72 33 02.9| 6.11|        |                                            STAR A0|
|HR 8081|          |21 11 20.69|-72 32 39.1| 6.20|        |                                         STAR K1III|
|HR 7498|          |19 49 25.30|-72 30 11.9| 5.41|        |                                         STAR A4III|
|HR 4425|          |11 28 18.19|-72 28 27.8| 6.09|W       |                                           STAR B3V|
|HR 4213|          |10 44 26.50|-72 26 38.0| 6.27|        |                                           STAR F6V|
|HR 1606|          |04 53 05.50|-72 24 27.0| 6.28|        |                                           STAR F6V|
|HR 5955|          |16 05 55.80|-72 24 02.9| 5.70|        |                                         STAR K1III|
|HR 4406|          |11 24 11.09|-72 15 24.1| 5.59|        |                                          STAR B2IV|
|HR 8515|Nu  Ind   |22 24 36.79|-72 15 20.2| 5.29|W       |                                           STAR A3V|
|HR 6565|          |17 44 19.70|-72 13 14.9| 6.49|W       |                                          STAR F7IV|
|HR 4907|          |12 56 31.51|-72 11 07.1| 5.93|        |                                         STAR G8III|
|HR 5030|          |13 22 52.61|-72 08 48.1| 6.05|W       |                                           STAR B6V|
|HR 4773|Gam Mus   |12 32 28.01|-72 07 59.2| 3.87|        |                                           STAR B5V|
|HR 95  |47    Tuc |00 24 05.80|-72 04 52.0|     |        |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|HR 5012|          |13 19 18.91|-72 02 08.2| 6.04|        |                                         STAR K3III|
|HR 4389|          |11 20 03.91|-71 59 39.8| 6.41|        |                                           STAR B4V|
|HR 4138|          |10 30 20.11|-71 59 35.2| 4.74|        |                                           STAR A1V|
|HR 4862|          |12 49 44.90|-71 59 11.0| 5.55|        |                                           STAR G8I|
|HR 5598|          |15 07 08.71|-71 54 19.1| 6.52|        |                                         STAR K4III|
|HR 939 |The Hyi   |03 02 15.41|-71 54 09.0| 5.53|W       |                                           STAR B3V|
|HR 8159|          |21 25 18.10|-71 47 57.8| 6.09|W       |                                         STAR K2III|
|HR 2505|          |06 40 57.79|-71 46 32.2| 6.51|W       |                                         STAR K1III|
|HR 2283|          |06 15 05.90|-71 42 10.1| 6.64|        |                                           STAR F8V|
|HR 3777|          |09 27 06.41|-71 36 07.9| 5.47|        |                                         STAR K2III|
|HR 4923|Del Mus   |13 02 16.20|-71 32 56.0| 3.62|        |                                         STAR K2III|
|HR 3301|Kap1Vol   |08 19 49.01|-71 30 54.0| 5.37|W       |                                         STAR B9III|
|HR 3302|Kap2Vol   |08 20 00.70|-71 30 19.1| 5.65|W       |                                          STAR A0IV|
|HR 4596|          |12 02 28.61|-71 29 20.0| 6.42|        |                                         STAR K1III|
|HR 4930|          |13 03 05.21|-71 28 34.0| 6.03|        |                                         STAR B1III|
|HR 9108|          |00 04 41.30|-71 26 12.8| 5.59|        |                                          STAR B8IV|
|HR 4349|          |11 11 29.50|-71 26 11.0| 6.35|        |                                         STAR K2III|
|HR 6982|Zet Pav   |18 43 02.11|-71 25 41.2| 4.01|W       |                                         STAR K0III|
|HR 3944|          |09 56 09.70|-71 23 21.8| 6.35|        |                                           STAR B9I|
|HR 1677|Bet Men   |05 02 43.01|-71 18 51.8| 5.31|        |                                         STAR G8III|
|HR 139 |The Tuc   |00 33 23.30|-71 15 58.0| 6.13|        |                                          STAR A7IV|
|HR 8286|          |21 45 28.80|-71 00 32.0| 6.01|        |                                          STAR B8IV|
|HR 6135|          |16 34 19.30|-70 59 17.2| 5.50|        |                                         STAR K1III|
|HR 2602|Iot Vol   |06 51 27.00|-70 57 47.9| 5.40|        |                                          STAR B7IV|
|HR 1541|Mu  Men   |04 43 03.91|-70 55 52.0| 5.54|        |                                          STAR B8II|
|HR 4329|          |11 06 49.90|-70 52 41.2| 5.57|W       |                                           STAR B2V|
|HR 4211|          |10 44 19.39|-70 51 36.0| 6.26|W       |                                          STAR A5IV|
|HR 4212|          |10 44 32.09|-70 51 18.0| 6.46|W       |                                          STAR A6IV|
|HR 5125|          |13 40 00.60|-70 47 17.9| 6.59|        |                                         STAR K0III|
|HR 6774|          |18 14 24.10|-70 45 05.0| 6.73|        |                                          STAR B7II|
|HR 6357|          |17 12 19.80|-70 43 16.0| 6.22|        |                                          STAR K1IV|
|HR 4262|          |10 53 42.00|-70 43 13.1| 5.99|W       |                                           STAR B6V|
|HR 5049|          |13 25 50.11|-70 37 39.0| 5.67|        |                                            STAR A0|
|HR 3642|          |09 05 38.30|-70 32 20.0| 4.71|        |                                          STAR B2IV|
|HR 2736|Gam2Vol   |07 08 44.90|-70 29 56.0| 3.78|W       |                                         STAR K0III|
|HR 2735|Gam1Vol   |07 08 42.19|-70 29 49.9| 5.69|W       |                                           STAR F2V|
|HR 8994|          |23 44 25.39|-70 29 25.1| 6.07|        |                                          STAR G8IV|
|HR 5119|          |13 38 45.70|-70 26 42.0| 6.10|        |                                         STAR K3III|
|HR 2536|          |06 44 56.09|-70 26 02.0| 6.11|        |                                         STAR K3III|
|HR 8527|          |22 25 10.51|-70 25 54.1| 5.78|        |                                         STAR F3III|
|HR 3460|The Vol   |08 39 05.21|-70 23 12.8| 5.20|W       |                                           STAR A0V|
|HR 8672|          |22 49 17.40|-70 20 52.1| 6.34|        |                                           STAR A2V|
|HR 5293|          |14 10 30.91|-70 18 20.2| 6.05|W       |                                          STAR K4II|
|HR 5792|          |15 40 11.50|-70 13 40.1| 6.44|        |                                           STAR A1V|
|HR 4538|          |11 49 56.59|-70 13 32.9| 4.97|        |                                           STAR G6I|
|HR 4645|          |12 12 46.80|-70 09 06.8| 6.17|        |                                           STAR F6I|
|HR 8092|Omi Pav   |21 13 20.50|-70 07 35.0| 5.02|        |                                         STAR M1III|
|HR 6411|Iot Aps   |17 22 05.90|-70 07 23.9| 5.41|W       |                                           STAR B9V|
|HR 3370|          |08 27 16.90|-70 05 35.9| 5.53|        |                                           STAR A0V|
|HR 6098|Zet TrA   |16 28 28.10|-70 05 03.8| 4.91|        |                                           STAR F9V|
|HR 5644|          |15 14 19.10|-70 04 45.8| 5.81|        |                                               STAR|
|HR 4841|          |12 45 01.70|-68 49 52.0| 6.16|        |                                           STAR F6I|
|HR 8701|Rho Ind   |22 54 39.41|-70 04 25.0| 6.05|        |                                          STAR G2IV|
|HR 6400|          |17 20 12.79|-70 02 44.2| 6.53|W       |                                          STAR G0IV|
|HR 4037|Ome Car   |10 13 44.21|-70 02 17.2| 3.32|        |                                         STAR B8III|
|HR 2352|Pi 1Dor   |06 22 38.21|-69 59 03.1| 5.56|        |                                         STAR K5III|
|HR 4966|          |13 11 51.60|-69 56 30.8| 5.91|W       |                                          STAR F3IV|
|HR 3038|          |07 44 13.01|-69 49 17.0| 6.18|        |                                          STAR A0IV|
|HR 8156|          |21 24 16.70|-69 44 03.1| 6.41|        |                                               STAR|
|HR 5295|          |14 11 01.90|-69 43 10.9| 6.06|        |                                          STAR A6IV|
|HR 3685|Bet Car   |09 13 12.00|-69 43 01.9| 1.68|        |                                          STAR A2IV|
|HR 2377|Pi 2Dor   |06 25 28.61|-69 41 25.1| 5.38|        |                                         STAR G8III|
|HR 4994|          |13 15 25.70|-69 40 46.9| 6.37|        |                                         STAR K2III|
|HR 8333|Omi Ind   |21 50 47.11|-69 37 45.8| 5.53|        |                                         STAR K2III|
|HR 5066|          |13 28 46.39|-69 37 41.2| 6.20|        |                                            STAR A0|
|HR 83  |Pi  Tuc   |00 20 39.00|-69 37 30.0| 5.51|        |                                           STAR B9V|
|HR 1053|          |03 24 02.50|-69 37 28.9| 6.15|        |                                           STAR G0V|
|HR 7838|          |20 35 51.70|-69 36 40.0| 6.11|        |                                         STAR K2III|
|HR 270 |Lam2Tuc   |00 55 00.31|-69 31 36.8| 5.45|        |                                         STAR K2III|
|HR 8196|          |21 28 44.90|-69 30 19.1| 5.34|        |                                         STAR M5III|
|HR 252 |Lam1Tuc   |00 52 24.29|-69 30 15.8| 6.22|W       |                                          STAR F7IV|
|HR 4820|          |12 42 05.11|-69 24 27.0| 6.33|        |                                           STAR F7I|
|HR 5194|          |13 51 47.40|-69 24 05.0| 5.75|        |                                         STAR K5III|
|HR 1064|          |03 25 36.19|-69 20 11.0| 5.96|        |                                          STAR F3IV|
|HR 6276|          |16 59 33.79|-69 16 05.9| 5.79|        |                                            STAR A0|
|HR 959 |          |03 07 49.20|-69 15 56.2| 6.15|        |                                         STAR K1III|
|HR 4597|          |12 02 37.70|-69 11 31.9| 5.89|        |                                           STAR B9V|
|HR 7274|Tau Pav   |19 16 28.49|-69 11 26.2| 6.27|        |                                          STAR A6IV|
|HR 7579|          |19 58 41.30|-69 09 50.0| 5.75|        |                                            STAR A0|
|HR 4798|Alp Mus   |12 37 10.99|-69 08 08.2| 2.69|W       |                                          STAR B2IV|
|HR 3949|          |09 56 59.69|-69 06 06.8| 6.20|        |                                           STAR B3V|
|HR 6217|Alp TrA   |16 48 39.89|-69 01 40.1| 1.92|        |                                          STAR K2II|
|HR 377 |Kap Tuc   |01 15 46.10|-68 52 34.0| 4.86|W       |                                          STAR F6IV|
|HR 2221|Nu  Dor   |06 08 44.21|-68 50 35.9| 5.06|        |                                           STAR B8V|
|HR 2712|          |07 06 14.09|-68 50 13.9| 6.47|        |                                         STAR K0III|
