ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
6293,NGC 6293,Globular Cluster,Ophiuchus,8.2,7.9,17,10.2,-,26,35,
6296,NGC 6296,Galaxy,Ophiuchus,14.0,1.1,17,8.7,+,3,54,
6300,NGC 6300,Galaxy,Ara,11.0,5.4,17,17.0,-,62,49,
6302,NGC 6302,Planetary Nebula,Scorpius,13.0,0.8,17,13.7,-,37,6,
6304,NGC 6304,Globular Cluster,Ophiuchus,8.4,6.8,17,14.5,-,29,28,
6306,NGC 6306,Galaxy,Draco,14.0,1.2,17,7.6,+,60,44,
6307,NGC 6307,Galaxy,Draco,14.0,1.6,17,7.7,+,60,45,
6308,NGC 6308,Galaxy,Hercules,14.0,1.3,17,12.0,+,23,23,
6309,NGC 6309,Planetary Nebula,Ophiuchus,11.0,1.1,17,14.1,-,12,55,
6310,NGC 6310,Galaxy,Draco,14.0,2.1,17,8.0,+,61,0,
6314,NGC 6314,Galaxy,Hercules,13.1,1.8,17,12.6,+,23,16,
6315,NGC 6315,Galaxy,Hercules,13.3,0.9,17,12.8,+,23,13,
6316,NGC 6316,Globular Cluster,Ophiuchus,9.0,4.9,17,16.6,-,28,8,
6318,NGC 6318,Open Cluster,Scorpius,12.0,4.0,17,17.8,-,39,27,
6322,NGC 6322,Open Cluster,Scorpius,6.0,10.0,17,18.5,-,42,57,
6325,NGC 6325,Globular Cluster,Ophiuchus,10.7,4.3,17,18.0,-,23,46,
6326,NGC 6326,Planetary Nebula,Ara,12.0,0.2,17,20.8,-,51,45,
6333,NGC 6333,Globular Cluster,Ophiuchus,7.9,9.3,17,19.2,-,18,31,
6339,NGC 6339,Galaxy,Hercules,13.0,3.4,17,17.1,+,40,51,
6340,NGC 6340,Galaxy,Draco,11.0,3.4,17,10.4,+,72,18,
6341,NGC 6341,Globular Cluster,Hercules,6.5,11.0,17,17.1,+,43,8,
6342,NGC 6342,Globular Cluster,Ophiuchus,9.9,3.0,17,21.2,-,19,35,
6352,NGC 6352,Globular Cluster,Ara,8.2,7.1,17,25.5,-,48,25,
6355,NGC 6355,Globular Cluster,Ophiuchus,9.6,5.0,17,24.0,-,26,21,
6356,NGC 6356,Globular Cluster,Ophiuchus,8.4,7.2,17,23.6,-,17,49,
6359,NGC 6359,Galaxy,Draco,12.6,1.2,17,17.9,+,61,47,
6361,NGC 6361,Galaxy,Draco,14.0,2.4,17,18.6,+,60,37,
6362,NGC 6362,Globular Cluster,Ara,8.3,10.0,17,31.9,-,67,3,
6366,NGC 6366,Globular Cluster,Ophiuchus,10.0,8.3,17,27.7,-,5,5,
6368,NGC 6368,Galaxy,Ophiuchus,13.0,4.0,17,27.1,+,11,33,
6369,NGC 6369,Planetary Nebula,Ophiuchus,13.0,1.1,17,29.3,-,23,46,
6372,NGC 6372,Galaxy,Hercules,14.0,1.9,17,27.5,+,26,28,
6374,NGC 6374,Open Cluster,Scorpius,9.0,3.0,17,32.3,-,32,36,
6379,NGC 6379,Galaxy,Hercules,15.0,1.3,17,30.6,+,16,17,
6381,NGC 6381,Galaxy,Draco,14.0,1.5,17,27.3,+,60,1,
6383,NGC 6383,Cluster Nebulosity,Scorpius,5.5,80.0,17,34.8,-,32,34,
6384,NGC 6384,Galaxy,Ophiuchus,10.6,6.0,17,32.4,+,7,4,
6388,NGC 6388,Globular Cluster,Scorpius,6.9,8.7,17,36.3,-,44,44,
6389,NGC 6389,Galaxy,Hercules,14.0,3.1,17,32.7,+,16,24,
6395,NGC 6395,Galaxy,Draco,13.0,2.6,17,26.4,+,71,6,
6396,NGC 6396,Open Cluster,Scorpius,8.5,3.0,17,38.1,-,35,0,
6397,NGC 6397,Globular Cluster,Ara,5.7,25.0,17,40.7,-,53,40,
6400,NGC 6400,Open Cluster,Scorpius,9.0,8.0,17,40.8,-,36,57,
6401,NGC 6401,Globular Cluster,Ophiuchus,9.5,5.6,17,38.6,-,23,55,
6402,NGC 6402,Globular Cluster,Ophiuchus,7.6,11.0,17,37.6,-,3,15,
6404,NGC 6404,Open Cluster,Scorpius,11.0,5.0,17,39.6,-,33,15,
6405,NGC 6405,Open Cluster,Scorpius,4.2,15.0,17,40.1,-,32,13,
