ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
M74,NGC 628 ,Spiral Galaxy,Pisces,9.4,10.2,1,36.7,+,15,47.0,"35,000,000"
M75,NGC 6864  ,Globular Cluster,Sagittarius,8.5,6.0,20,6.1,-,21,55.0,"57,700"
M76,"NGC 650 Little Dumbell, Cork, Butterfly Nebula",Planetary Nebula,Perseus,10.1,2.7,1,42.3,+,51,34.0,"3,400"
M77,NGC 1068 Cetus A,Spiral Galaxy,Cetus,8.9,7.0,2,42.7,+,0,1.0,"60,000,000"
M78,NGC 2068  ,Diffuse Nebula,Orion,8.3,8.0,5,46.7,+,0,3.0,"1,600"
M79,NGC 1904  ,Globular Cluster,Lepus,7.7,8.7,5,24.5,-,24,33.0,"41,100"
M80,NGC 6093  ,Globular Cluster,Scorpius,7.3,8.9,16,17.0,-,22,59.0,"27,400"
M81,NGC 3031 Bode¹s Galaxy,Spiral Galaxy,Ursa Major,6.9,21.0,9,55.6,+,69,4.0,"12,000,000"
M82,NGC 3034 Cigar Galaxy,Irregular Galaxy,Ursa Major,8.4,9.0,9,55.8,+,69,41.0,"12,000,000"
M83,NGC 5236 Southern Pinwheel Galaxy,Spiral Galaxy,Hydra,7.6,11.0,13,37.0,-,29,52.0,"15,000,000"
M84,NGC 4374  ,Lenticular (S0) Galaxy,Virgo,9.1,5.0,12,25.1,+,12,53.0,"60,000,000"
M85,NGC 4382  ,Lenticular (S0) Galaxy,Coma Berenices,9.1,7.1,12,25.4,+,18,11.0,"60,000,000"
M86,NGC 4406  ,Lenticular (S0) Galaxy,Virgo,8.9,7.5,12,26.2,+,12,57.0,"60,000,000"
M87,NGC 4486 Virgo A,Elliptical Galaxy,Virgo,8.6,7.0,12,30.8,+,12,24.0,"60,000,000"
M88,NGC 4501  ,Spiral Galaxy,Coma Berenices,9.6,7.0,12,32.0,+,14,25.0,"60,000,000"
M89,NGC 4552  ,Elliptical Galaxy,Virgo,9.8,4.0,12,35.7,+,12,33.0,"60,000,000"
M90,NGC 4569  ,Spiral Galaxy,Virgo,9.5,9.5,12,36.8,+,13,10.0,"60,000,000"
M91,NGC 4548  ,Spiral Galaxy,Coma Berenices,10.2,5.4,12,35.4,+,14,30.0,"60,000,000"
M92,NGC 6341  ,Globular Cluster,Hercules,6.4,11.2,17,17.1,+,43,8.0,"26,400"
M93,NGC 2447  ,Open Cluster,Puppis,6.0,22.0,7,44.6,-,23,52.0,"3,600"
M94,NGC 4736  ,Spiral Galaxy,Canes Venatici,8.2,7.0,12,50.9,+,41,7.0,"14,500,000"
M95,NGC 3351  ,Spiral Galaxy,Leo,9.7,4.4,10,44.0,+,11,42.0,"38,000,000"
M96,NGC 3368  ,Spiral Galaxy,Leo,9.2,6.0,10,46.8,+,11,49.0,"38,000,000"
M97,NGC 3587 Owl Nebula,Planetary Nebula,Ursa Major,9.9,3.4,11,14.8,+,55,1.0,"2,600"
M98,NGC 4192  ,Spiral Galaxy,Coma Berenices,10.1,9.5,12,13.8,+,14,54.0,"60,000,000"
M99,NGC 4254  ,Spiral Galaxy,Coma Berenices,9.9,5.4,12,18.8,+,14,25.0,"60,000,000"
M100,NGC 4321  ,Spiral Galaxy,Coma Berenices,9.3,7.0,12,22.9,+,15,49.0,"60,000,000"
M101,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,Ursa Major,7.9,22.0,14,3.2,+,54,21.0,"27,000,000"
M102,NGC 5866 Spindle Galaxy,Lenticular (S0) Galaxy,Draco,9.9,5.2,15,6.5,+,55,46.0,"40,000,000"
M103,NGC 581,Open Cluster,Cassiopeia,7.4,6.0,1,33.2,+,60,42.0,"8,000"
M104,NGC 4594 Sombrero Galaxy,Spiral Galaxy,Virgo,8.0,9.0,12,40.0,-,11,37.0,"50,000,000"
M105,NGC 3379,Elliptical Galaxy,Leo,9.3,2.0,10,47.8,+,12,35.0,"38,000,000"
M106,NGC 4258,Spiral Galaxy,Canes Venatici,8.4,19.0,12,19.0,+,47,18.0,"25,000,000"
M107,NGC 6171,Globular Cluster,Ophiucus,7.9,10.0,16,32.5,-,13,3.0,"19,600"
M108,NGC 3556,Spiral Galaxy,Ursa Major,10.0,8.0,11,11.5,+,55,40.0,"45,000,000"
M109,NGC 3992,Spiral Galaxy,Ursa Major,9.8,7.0,11,57.6,+,53,23.0,"55,000,000"
M110,NGC 205 Satellite of M31,Elliptical Galaxy,Andromeda,8.5,17.0,0,40.4,+,41,41.0,"2,900,000"
