,name,alt_name,ra,dec,vmag,multiple,class,bii,lii,parallax,distance,absmag
38,HR 3983,Mu1Cha,10 00 43.70,-82 12 52.9,5.52,,STARA0IV,-21.2935,297.276,,408.20572928300544,-2.5343954793443206
39,HR 9061,Gam2Oct,23 57 32.71,-82 10 12.0,5.73,,STARK0III,-34.7252,305.145,,318.5120875948451,-1.7856295927152175
40,HR 9032,Gam1Oct,23 52 06.41,-82 01 08.0,5.11,,STARG7III,-34.8214,305.414,,261.97299413423406,-1.9812826187555013
41,HR 4161,,10 31 51.00,-81 55 16.0,7.07,W,STARB5III,-20.4183,298.01,,1177.4598472820267,-3.2847305305920322
42,HR 6912,,18 42 14.09,-81 48 28.1,6.27,,STARB8V,-26.5026,312.086,,481.76717532809664,-2.1441860324885553
43,HR 1456,NuMen,04 20 57.89,-81 34 48.0,5.79,,STARF0III,-32.047,295.067,,176.58710216411552,-0.4447948987130692
44,HR 3997,Mu2Cha,10 04 07.61,-81 33 56.9,6.6,,STARG6III,-20.7187,296.929,,556.5808493124938,-2.1276412958238247
45,HR 4304,,10 59 12.91,-81 33 22.0,6.71,W,STARF7IV,-19.6157,298.727,0.01,304.2503523294043,-0.7061554491305211
46,HR 1815,,05 12 25.70,-81 32 30.1,6.51,,STARK1III,-30.3867,294.024,,643.3064648858409,-2.5320895792475966
47,HR 6646,,18 05 26.69,-81 29 11.0,6.35,,STARK3III,-25.1313,312.153,,982.3987280033776,-3.611438957394096
48,HR 8630,BetOct,22 46 03.31,-81 22 54.1,4.15,,STARA9IV,-34.3839,308.352,,149.27065340829353,-1.7198721693820733
49,HR 7494,,19 56 01.51,-81 20 58.9,6.39,,STARK3III,-29.2106,312.459,,666.986457458326,-2.7305850802961755
50,HR 7812,,20 38 18.60,-81 17 20.0,5.91,,STARK5III,-30.7521,311.989,,726.4061864078427,-3.3958976708976607
51,HR 5303,EtaAps,14 18 13.80,-81 00 28.1,4.91,,STARA2,-18.7312,306.43,,140.76667142732904,-0.8324992069643997
52,HR 7785,,20 33 17.50,-80 57 54.0,5.77,W,STARG6II,-30.6914,312.422,,693.9497397811093,-3.4366400862356894
53,HR 3860,ZetCha,09 33 53.21,-80 56 29.0,5.11,,STARB5V,-21.0439,295.574,,572.2041713984586,-3.6777550975518203
54,HR 3393,,08 24 19.80,-80 54 51.1,5.69,,STARG8III,-23.2562,293.844,,271.7969814142678,-1.4812231456761529
