ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
NGC 7423,NGC 7423,Open Cluster,Cepheus,15.0,6.0,22,55.3,+,57,8,
NGC 7424,NGC 7424,Galaxy,Grus,11.0,7.6,22,57.3,-,41,4,
NGC 7428,NGC 7428,Galaxy,Pisces,14.0,2.6,22,57.3,-,1,2,
NGC 7437,NGC 7437,Galaxy,Pegasus,13.0,1.9,22,58.2,+,14,18,
NGC 7440,NGC 7440,Galaxy,Andromeda,15.0,1.9,22,58.5,+,35,48,
NGC 7442,NGC 7442,Galaxy,Pegasus,14.0,1.2,22,59.4,+,15,33,
NGC 7443,NGC 7443,Galaxy,Aquarius,14.0,1.8,23,0.1,-,12,48,
NGC 7444,NGC 7444,Galaxy,Aquarius,14.0,2.0,23,0.1,-,12,50,
NGC 7448,NGC 7448,Galaxy,Pegasus,11.7,2.7,23,0.1,+,15,59,
NGC 7454,NGC 7454,Galaxy,Pegasus,14.0,2.0,23,1.1,+,16,23,
NGC 7456,NGC 7456,Galaxy,Grus,12.0,5.9,23,2.1,-,39,35,
NGC 7457,NGC 7457,Galaxy,Pegasus,10.8,4.4,23,1.0,+,30,9,
NGC 7460,NGC 7460,Galaxy,Pisces,14.0,1.3,23,1.8,+,2,16,
NGC 7462,NGC 7462,Galaxy,Grus,13.0,3.7,23,2.8,-,40,50,
NGC 7463,NGC 7463,Galaxy,Pegasus,13.0,3.0,23,1.9,+,15,59,
NGC 7464,NGC 7464,Galaxy,Pegasus,14.0,0.7,23,1.9,+,15,58,
NGC 7465,NGC 7465,Galaxy,Pegasus,13.0,1.6,23,2.0,+,15,58,
NGC 7468,NGC 7468,Galaxy,Pegasus,14.0,1.1,23,3.0,+,16,36,
NGC 7469,NGC 7469,Galaxy,Pegasus,11.9,1.8,23,3.3,+,8,52,
NGC 7479,NGC 7479,Galaxy,Pegasus,11.0,4.1,23,4.9,+,12,19,
NGC 7492,NGC 7492,Globular Cluster,Aquarius,11.5,6.2,23,8.4,-,15,37,
NGC 7495,NGC 7495,Galaxy,Pegasus,15.0,2.1,23,9.0,+,12,4,
NGC 7496,NGC 7496,Galaxy,Grus,11.1,3.5,23,9.8,-,43,26,
NGC 7497,NGC 7497,Galaxy,Pegasus,13.0,5.0,23,9.1,+,18,11,
NGC 7499,NGC 7499,Galaxy,Pisces,13.8,1.4,23,10.4,+,7,35,
NGC 7501,NGC 7501,Galaxy,Pisces,13.8,0.8,23,10.5,+,7,35,
NGC 7503,NGC 7503,Galaxy,Pisces,13.8,0.9,23,10.7,+,7,34,
NGC 7507,NGC 7507,Galaxy,Sculptor,10.4,2.6,23,12.1,-,28,32,
NGC 7510,NGC 7510,Open Cluster,Cepheus,7.9,4.0,23,11.5,+,60,34,
NGC 7513,NGC 7513,Galaxy,Sculptor,11.8,3.2,23,13.2,-,28,22,
NGC 7518,NGC 7518,Galaxy,Pisces,14.0,1.5,23,13.1,+,6,19,
NGC 7531,NGC 7531,Galaxy,Grus,11.3,3.5,23,14.8,-,43,36,
NGC 7532,NGC 7532,Galaxy,Pisces,15.0,1.8,23,14.4,-,2,42,
NGC 7537,NGC 7537,Galaxy,Pisces,13.2,2.3,23,14.6,+,4,30,
NGC 7541,NGC 7541,Galaxy,Pisces,11.7,3.5,23,14.7,+,4,32,
NGC 7547,NGC 7547,Galaxy,Pegasus,15.0,1.3,23,15.0,+,18,58,
NGC 7549,NGC 7549,Galaxy,Pegasus,14.0,2.9,23,15.3,+,19,2,
NGC 7550,NGC 7550,Galaxy,Pegasus,14.0,1.7,23,15.3,+,18,57,
NGC 7552,NGC 7552,Galaxy,Grus,10.7,3.5,23,16.2,-,42,35,
NGC 7562,NGC 7562,Galaxy,Pisces,11.5,2.3,23,16.0,+,6,41,
